code,history_count,history_pe_max,history_pe_mean,history_pe_median,history_pe_min,is_positive,name,pe_ttm,percentile
300070.XSHE,1892,225.6014,58.364,51.386,23.8007,True,碧水源,24.3552,0.48
002468.XSHE,1796,26865.3987,1403.3235,223.3516,-171.8802,True,申通快递,25.1257,1.64
600959.XSHG,676,243.0889,60.6712,52.3753,30.2692,True,江苏有线,37.0202,1.92
603858.XSHG,294,51.0759,28.6987,27.7255,20.5543,True,步长制药,20.9781,2.38
601966.XSHG,384,74.5384,29.2791,25.7957,20.3977,True,玲珑轮胎,21.1077,3.12
300144.XSHE,1738,131.0424,44.3442,40.9519,24.0752,True,宋城演艺,26.813,3.74
002601.XSHE,1592,402.6702,87.0187,72.3556,13.6961,True,龙佰集团,15.5349,3.77
000627.XSHE,2453,3756.3087,136.7241,37.0676,-2214.346,True,*ST天茂,23.6352,4.02
002555.XSHE,1685,4143.0252,401.4485,93.7157,25.3954,True,三七互娱,29.4267,4.21
000826.XSHE,2453,84.8721,39.4427,37.0399,24.9049,True,*ST启环,26.5862,4.24
600297.XSHG,2453,2694.2846,43.3726,57.915,-1387.348,True,广汇汽车,17.1821,4.36
002241.XSHE,2360,103.1957,43.212,37.617,18.358,True,歌尔股份,25.5664,4.62
000415.XSHE,2453,7898.6395,195.8047,22.1621,-48.8324,True,渤海租赁,13.3277,4.66
600373.XSHG,2453,116000.2274,2553.4969,23.4042,-105.9879,True,中文传媒,17.1436,4.71
002074.XSHE,2453,926.3162,73.2201,48.2729,13.4612,True,国轩高科,26.3241,5.14
600208.XSHG,2453,228.9485,27.5298,22.9001,5.329,True,衢州发展,6.68,5.42
600309.XSHG,2453,52.0679,19.8325,17.8588,7.6635,True,万华化学,11.538,5.99
002174.XSHE,2453,773.145,55.1865,80.6111,-5066.2707,True,游族网络,31.9992,6.03
002460.XSHE,1817,218.4894,83.438,77.0757,36.5212,True,赣锋锂业,43.052,6.16
300072.XSHE,1888,102.8912,44.5695,41.0793,25.2747,True,海新能科,29.4242,6.41
002831.XSHE,274,42.3767,30.2271,30.2842,23.9093,True,裕同科技,25.0174,6.57
603160.XSHG,318,100.6299,50.5914,46.3135,23.1373,True,汇顶科技,41.0093,6.6
600482.XSHG,2453,331.7121,77.4452,54.3406,-25.2083,True,中国动力,35.1399,6.84
002450.XSHE,1834,126.3615,46.698,39.5799,25.5069,True,康得退,30.3217,7.63
601985.XSHG,646,73.2911,30.8235,27.4648,23.3579,True,中国核电,24.5177,7.74
002624.XSHE,1523,158.996,32.0314,43.0358,-462.2233,True,完美世界,27.8068,7.76
600637.XSHG,2453,462.0735,70.4045,50.323,-4.7157,True,东方明珠,23.0313,7.85
600074.XSHG,2453,2042.5421,110.2335,-5.1509,-48.0754,True,退市保千,15.4457,7.87
000008.XSHE,2453,4028.2458,-4020.5455,282.103,-175214.0288,True,神州高铁,54.8623,7.94
600415.XSHG,2453,248.5888,44.8998,34.5906,19.0543,True,小商品城,22.3829,7.95
002292.XSHE,2038,209.1087,74.0944,70.1077,38.015,True,奥飞娱乐,49.306,7.95
002839.XSHE,248,78.571,40.2875,37.6201,16.8933,True,张家港行,27.0063,8.47
600804.XSHG,2453,204.9935,55.8896,50.871,12.7699,True,退市鹏博,32.8668,8.52
600390.XSHG,2453,1328.2627,-62.2357,-17.8466,-2340.2012,True,五矿资本,19.4383,8.98
002466.XSHE,1802,1640.898,110.4936,107.2368,-480.3755,True,天齐锂业,31.3865,9.55
002739.XSHE,738,180.4291,71.7013,63.2805,21.4978,True,儒意电影,41.1678,9.62
000723.XSHE,2453,1872.3933,97.3238,47.7245,-822.7781,True,美锦能源,23.2963,9.67
