代码,名称,交易所,权重%
003027.XSHE,同兴科技,深圳证券交易所,3.333333333333334
000619.XSHE,海螺新材,深圳证券交易所,3.333333333333334
603937.XSHG,丽岛新材,上海证券交易所,3.333333333333334
000573.XSHE,粤宏远A,深圳证券交易所,3.333333333333334
600992.XSHG,贵绳股份,上海证券交易所,3.333333333333334
300800.XSHE,力合科技,深圳证券交易所,3.333333333333334
600232.XSHG,金鹰股份,上海证券交易所,3.333333333333334
002566.XSHE,益盛药业,深圳证券交易所,3.333333333333334
603326.XSHG,我乐家居,上海证券交易所,3.333333333333334
002780.XSHE,三夫户外,深圳证券交易所,3.333333333333334
300412.XSHE,迦南科技,深圳证券交易所,3.333333333333334
300883.XSHE,龙利得,深圳证券交易所,3.333333333333334
300694.XSHE,蠡湖股份,深圳证券交易所,3.333333333333334
002381.XSHE,双箭股份,深圳证券交易所,3.333333333333334
603321.XSHG,梅轮电梯,上海证券交易所,3.333333333333334
002105.XSHE,信隆健康,深圳证券交易所,3.333333333333334
600692.XSHG,亚通股份,上海证券交易所,3.333333333333334
603982.XSHG,泉峰汽车,上海证券交易所,3.333333333333334
002999.XSHE,天禾股份,深圳证券交易所,3.333333333333334
002858.XSHE,力盛体育,深圳证券交易所,3.333333333333334
002133.XSHE,广宇集团,深圳证券交易所,3.333333333333334
301036.XSHE,双乐股份,深圳证券交易所,3.333333333333334
300644.XSHE,南京聚隆,深圳证券交易所,3.333333333333334
605001.XSHG,威奥股份,上海证券交易所,3.333333333333334
002671.XSHE,龙泉股份,深圳证券交易所,3.333333333333334
300610.XSHE,晨化股份,深圳证券交易所,3.333333333333334
002732.XSHE,燕塘乳业,深圳证券交易所,3.333333333333334
300743.XSHE,天地数码,深圳证券交易所,3.333333333333334
300947.XSHE,德必集团,深圳证券交易所,3.333333333333334
300956.XSHE,英力股份,深圳证券交易所,3.333333333333334
