年份,交易日数,年初点位,年末点位,总收益率,年化收益率,年化波动率,夏普比率,最大回撤,Calmar比率
2014,244,1000.0,1527.69,0.5276899999999987,0.5490633467371615,0.21357976097399234,2.5707648713214035,-0.09107930862524805,6.028409251505407
2015,244,1549.51,3855.04,1.5234438924127294,1.601200163352161,0.5609976459201647,2.8542012163452593,-0.5048874333189339,3.1714003116031093
2016,244,3507.23,4258.13,0.10456182037021766,0.10816924764007951,0.34267311053542343,0.31566307455833376,-0.2646630063840837,0.4087055804206439
2017,244,4334.33,3650.11,-0.14279037981461096,-0.14710971273503437,0.20341258658059608,-0.7232085054714478,-0.22880335899230098,-0.6429525920551913
2018,243,3688.25,2773.98,-0.24002838270627447,-0.2477148987526534,0.2838216609869912,-0.8727836271947097,-0.3817290736779385,-0.6489285617307953
2019,244,2816.97,3743.49,0.3495014383665367,0.3628288872538967,0.27105104542015174,1.3385998445107699,-0.23449729299401956,1.5472625829550624
2020,243,3807.72,4934.3,0.31810155763739356,0.33165408021544085,0.2617795924319902,1.26692106567323,-0.16711835404776787,1.9845461146693877
2021,243,5002.04,6929.98,0.40445047929797795,0.4222293337017533,0.22175314737184887,1.9040511429302693,-0.1551826854643309,2.720853376382662
2022,242,7077.79,8432.62,0.2168317946083511,0.226739847326062,0.26433268924339676,0.8577820926161752,-0.1984101858773647,1.142783301791812
2023,242,8579.52,12031.97,0.42683649921376476,0.4479491486164817,0.17833337246725656,2.5118638335554877,-0.146543507199545,3.056765578883815
2024,242,12226.96,14422.73,0.1987006284091466,0.20771161373216995,0.43422120493274013,0.47835437646197865,-0.4191291622598957,0.49557900627151086
2025,243,14345.57,24590.38,0.7049740236418502,0.7390012978791067,0.25103884179129493,2.9437727349518568,-0.1636677940623823,4.5152517763967355
2026,169,24991.14,22272.14,-0.09427426497679114,-0.13726632970495933,0.2907813519768827,-0.47206029125234994,-0.32969902656855443,-0.41633829233165026
