date,159920.SZ_shares,159941.SZ_shares,513000.SH_shares,513030.SH_shares,513500.SH_shares,518880.SH_shares,159920.SZ_value,159941.SZ_value,513000.SH_value,513030.SH_value,513500.SH_value,518880.SH_value,cash,total_value
2019-06-12,107300.0,100000.0,166500.0,160600.0,89700.0,148600.0,166411.3554,166550.0,166500.0,166542.19999999998,166411.44,166505.40840000001,7.22,998927.62387886
2019-06-13,107300.0,100000.0,166500.0,160600.0,89700.0,148600.0,166580.6748,167620.0,166500.0,166863.4,167138.01,166948.6822,7.22,1001657.9870788602
2019-06-14,107300.0,100000.0,166500.0,160600.0,89700.0,148600.0,165305.1997,166810.0,166533.3,165739.2,166895.82,169513.07239999998,7.22,1000803.8121788601
2019-06-17,107300.0,100000.0,166500.0,160600.0,89700.0,148600.0,166005.0103,168010.0,166533.3,164936.19999999998,167039.34,167464.9186,7.22,999995.98897886
2019-06-18,107300.0,100000.0,166500.0,160600.0,89700.0,148600.0,167641.54989999998,170620.0,166533.3,167987.6,168671.88,168710.6324,7.22,1010172.1823788601
2019-06-19,107300.0,100000.0,166500.0,160600.0,89700.0,148600.0,171919.279,171200.0,166533.3,167184.59999999998,169048.62,167936.2778,7.22,1013829.2968788601
2019-06-20,107300.0,100000.0,166500.0,160600.0,89700.0,148600.0,174154.0161,172650.0,166566.6,167987.6,170430.0,171477.1186,7.22,1023272.5547788601
2019-06-21,107300.0,100000.0,166500.0,160600.0,89700.0,148600.0,173081.7672,171560.0,166549.94999999998,167666.4,169389.48,172823.7318,7.22,1021078.54907886
2019-06-24,107300.0,100000.0,166500.0,160600.0,89700.0,148600.0,173296.2599,171460.0,166433.4,168148.19999999998,169174.19999999998,174075.09240000002,7.22,1022594.37237886
2019-06-25,107300.0,100000.0,166500.0,160600.0,89700.0,148600.0,171930.5455,168360.0,166350.15,167987.6,167739.0,177750.5648,7.22,1020125.0803788601
2019-06-26,107300.0,100000.0,166500.0,160600.0,89700.0,148600.0,172438.3964,169560.0,166383.44999999998,167987.6,167828.7,174714.81540000002,7.22,1018920.18187886
2019-06-27,107300.0,100000.0,166500.0,160600.0,89700.0,148600.0,175079.4786,170450.0,166783.05000000002,168630.0,168680.85,174400.5264,7.22,1024031.1250788601
2019-06-28,107300.0,100000.0,166500.0,160600.0,89700.0,148600.0,174402.30829999998,170620.0,166466.7,170236.0,169550.94,174703.5218,7.22,1025986.6901788601
2019-06-30,105200.0,100200.0,171000.0,161300.0,90500.0,145400.0,170989.0292,170931.18,170965.80000000002,170978.0,171054.05,170936.0204,46.64,1025900.7219788601
2019-07-01,105200.0,100200.0,171000.0,161300.0,90500.0,145400.0,171044.3644,172935.18,173582.09999999998,172429.69999999998,172284.85,167218.8694,46.64,1029541.7061788599
2019-07-02,105200.0,100200.0,171000.0,161300.0,90500.0,145400.0,172991.932,173195.69999999998,172744.2,170816.69999999998,172275.8,168393.8468,46.64,1030464.8211788599
2019-07-03,105200.0,100200.0,171000.0,161300.0,90500.0,145400.0,173534.1328,174768.84,173137.5,172268.40000000002,173968.15,172868.67719999998,46.64,1040592.34237886
2019-07-04,105200.0,100200.0,171000.0,161300.0,90500.0,145400.0,173390.32439999998,174909.12,173941.2,172591.0,173968.15,171243.396,46.64,1040089.83277886
2019-07-05,105200.0,100200.0,171000.0,161300.0,90500.0,145400.0,173357.0812,174508.32,173889.9,171784.5,173787.15,171622.30839999998,46.64,1038995.90197886
2019-07-08,105200.0,100200.0,171000.0,161300.0,90500.0,145400.0,170911.602,173636.58000000002,171684.0,170978.0,173407.05,170721.8462,46.64,1031385.7205788601
2019-07-09,105200.0,100200.0,171000.0,161300.0,90500.0,145400.0,169417.6568,174498.30000000002,171119.69999999998,169365.0,173606.15,169321.7896,46.64,1027375.2387788601
2019-07-10,105200.0,100200.0,171000.0,161300.0,90500.0,145400.0,169793.9572,176191.68,170948.7,168235.9,174402.55000000002,169129.57080000002,46.64,1028749.00037886
2019-07-11,105200.0,100200.0,171000.0,161300.0,90500.0,145400.0,170568.5448,175600.5,172094.4,168074.6,174348.25,172044.9862,46.64,1032777.9233788601
2019-07-12,105200.0,100200.0,171000.0,161300.0,90500.0,145400.0,170723.5044,176622.53999999998,172060.2,167913.3,175117.5,171001.88660000003,46.64,1033485.5733788601
2019-07-15,105200.0,100200.0,171000.0,161300.0,90500.0,145400.0,171055.4104,177103.5,172060.2,169042.4,175171.8,171221.4406,46.64,1035701.3933788601
2019-07-16,105200.0,100200.0,171000.0,161300.0,90500.0,145400.0,171564.4732,176281.86000000002,172111.5,169526.3,174665.0,171419.1846,46.64,1035614.9601788601
2019-07-17,105200.0,100200.0,171000.0,161300.0,90500.0,145400.0,171940.6684,175630.56,171256.5,167913.3,173805.25,170535.1526,46.64,1031128.07337886
2019-07-18,105200.0,100200.0,171000.0,161300.0,90500.0,145400.0,171033.3184,175901.1,168007.5,166461.6,174275.85,172061.5618,46.64,1027787.57257886
2019-07-19,105200.0,100200.0,171000.0,161300.0,90500.0,145400.0,172549.3556,174197.69999999998,172008.9,166945.5,172891.2,174180.9122,46.64,1032820.21017886
2019-07-22,105200.0,100200.0,171000.0,161300.0,90500.0,145400.0,170690.2612,176111.52000000002,171222.30000000002,167106.80000000002,173678.55,173082.706,46.64,1031938.77957886
2019-07-23,105200.0,100200.0,171000.0,161300.0,90500.0,145400.0,171210.37,177343.98,172846.8,169687.6,174999.85,171995.6956,46.64,1038130.93797886
2019-07-24,105200.0,100200.0,171000.0,161300.0,90500.0,145400.0,171641.9004,178596.48,173034.9,169365.0,175922.94999999998,172588.6368,46.64,1041196.50957886
2019-07-25,105200.0,100200.0,171000.0,161300.0,90500.0,145400.0,171675.1436,176552.4,173376.9,166784.2,174701.19999999998,172638.0728,46.64,1035774.55877886
2019-07-26,105200.0,100200.0,171000.0,161300.0,90500.0,145400.0,170612.834,178556.4,171803.69999999998,167752.0,176113.0,172182.3892,46.64,1037066.96557886
2019-07-29,105200.0,100200.0,171000.0,161300.0,90500.0,145400.0,168853.364,177985.26,171547.2,167590.69999999998,175886.75,172336.077,46.64,1034245.9933788601
2019-07-30,105200.0,100200.0,171000.0,161300.0,90500.0,145400.0,169118.8888,177263.81999999998,172162.8,164364.69999999998,175533.8,173060.7506,46.64,1031551.40177886
2019-07-31,105200.0,100200.0,171000.0,161300.0,90500.0,145400.0,166772.9288,175099.5,171102.59999999998,165009.9,173579.0,173856.961,46.64,1025467.53217886
2019-08-01,105200.0,100200.0,171000.0,161300.0,90500.0,145400.0,165599.9488,174267.84,171085.5,164848.6,172257.7,171292.832,46.64,1019399.06317886
2019-08-02,105200.0,100200.0,171000.0,161300.0,90500.0,145400.0,162014.6276,172023.36000000002,169495.19999999998,160009.6,171171.7,175328.40899999999,46.64,1010089.5389788599
2019-08-05,105200.0,100200.0,171000.0,161300.0,90500.0,145400.0,157765.3892,166402.14,168469.19999999998,158074.0,166592.4,180379.605,46.64,997729.37657886
2019-08-06,105200.0,100200.0,171000.0,161300.0,90500.0,145400.0,157433.378,169849.02000000002,169956.9,159687.0,169859.45,180978.0714,46.64,1007810.4617788602
2019-08-07,105200.0,100200.0,171000.0,161300.0,90500.0,145400.0,158340.8332,171171.66,169392.6,161138.7,170701.1,184892.821,46.64,1015684.35657886
