date,策略净值,恒生ETF_净值,纳指ETF_净值,日经ETF_净值,德国ETF_净值,标普500ETF_净值,黄金ETF_净值
2019-06-12,998927.62387886,998927.62387886,998927.62387886,998927.62387886,998927.62387886,998927.62387886,998927.62387886
2019-06-13,1001657.9870788602,999944.0077999693,1005345.2315495318,998927.62387886,1000854.1959596294,1003289.0478511642,1001586.9876077427
2019-06-14,1000803.8121788601,992287.635385376,1000487.0425651915,999127.4094036358,994111.193676937,1001835.2398603963,1016971.7143490525
2019-06-17,999995.98897886,996488.4312874521,1007684.3595790289,999127.4094036358,989294.7634750138,1002696.7557067772,1004684.0810016878
2019-06-18,1010172.1823788601,1006312.187665628,1023338.5240841254,999127.4094036358,1007597.1982423218,1012496.498459362,1012157.5795398116
2019-06-19,1013829.2968788601,1031990.3738398178,1026817.2273074802,999127.4094036358,1002780.7680403985,1014757.9775561123,1007511.9394488938
2019-06-20,1023272.5547788601,1045404.9669481493,1035513.9853658673,999327.1949284115,1007597.1982423218,1023050.0675775303,1028754.7550478935
2019-06-21,1021078.54907886,1038968.5128773971,1028976.4224116316,999227.3021660236,1005670.6261615525,1016804.0776912675,1036833.586462957
2019-06-24,1022594.37237886,1040256.0613300572,1028376.6459938117,998528.0528293086,1008560.4842827063,1015511.8039216959,1044340.9622460349
2019-06-25,1020125.0803788601,1032058.0039486369,1009783.5770413982,998028.5890173691,1007597.1982423218,1006896.645457885,1066391.4826852514
2019-06-26,1018920.18187886,1035106.5116156909,1016980.8940552357,998228.3745421448,1007597.1982423218,1007435.0928618731,1048178.8974967353
2019-06-27,1024031.1250788601,1050960.2973154301,1022318.9041738318,1000625.8008394542,1011450.3424038603,1012550.3431997608,1046293.361363116
2019-06-28,1025986.6901788601,1046895.4057272666,1023338.5240841254,998727.8383540843,1021083.2028077065,1017773.2830184462,1048111.1430068272
2019-06-30,1025900.7219788601,1046895.4057272666,1023158.5911587797,998727.8383540843,1021083.2028077065,1017719.4382780474,1048078.1572683197
2019-07-01,1029541.7061788599,1047234.2003676365,1035154.1195151753,1014011.4309994307,1029752.7771711681,1025042.3229722865,1025286.7949723474
2019-07-02,1030464.8211788599,1059158.3546968505,1036713.5382015067,1009116.6856424244,1020119.9167673219,1024988.4782318877,1032491.0585637323
2019-07-03,1040592.34237886,1062478.0268954553,1046130.0279612775,1011414.2191773457,1028789.4911307837,1035057.4446864665,1059928.060950622
2019-07-04,1040089.83277886,1061597.5472882583,1046969.7149462252,1016109.1790095766,1030716.063211553,1035057.4446864665,1049962.801895493
2019-07-05,1038995.90197886,1061394.0128655266,1044570.609274946,1015809.5007224127,1025899.6330096297,1033980.54987849,1052286.0676941748
2019-07-08,1031385.7205788601,1046421.3508692589,1039352.5544399138,1002923.3343743755,1021083.2028077065,1031719.0707817397,1046764.9682731322
2019-07-09,1027375.2387788601,1037274.539675548,1044510.6316331641,999626.8732155751,1011450.3424038603,1032903.6550705138,1038180.6527030981
2019-07-10,1028749.00037886,1039578.4720493177,1054646.8530943184,998627.9455916964,1004707.3401211678,1037641.9922256097,1037002.0811812805
2019-07-11,1032777.9233788601,1044320.9529182208,1051108.1722291817,1005320.7606716848,1003744.0540807834,1037318.9237832169,1054877.6769331498
2019-07-12,1033485.5733788601,1045269.706730511,1057225.8916909436,1005120.9751469089,1002780.7680403985,1041895.7267171164,1048482.0096884285
2019-07-15,1035701.3933788601,1047301.8304764555,1060104.8184964787,1005120.9751469089,1009523.7703230912,1042218.7951595092,1049828.1844221235
2019-07-16,1035614.9601788601,1050418.612348603,1055186.6518703564,1005420.6534340726,1012413.628444245,1039203.4896971754,1051040.6331888954
2019-07-17,1031128.07337886,1052721.9006260983,1051288.1051545276,1000426.0153146784,1002780.7680403985,1034088.2393592878,1045620.2739962682
2019-07-18,1027787.57257886,1047166.5702588174,1052907.501482641,981446.39046098,994111.193676937,1036888.1658600263,1054979.3086680116
2019-07-19,1032820.21017886,1056448.6416701665,1042711.3023797047,1004821.2968597453,997001.0517980908,1028649.9205790074,1067973.906627178
2019-07-22,1031938.77957886,1045066.1723077794,1054167.0319600627,1000226.2297899026,997964.3378384755,1033334.4129937044,1061240.3584393635
2019-07-23,1038130.93797886,1048250.584288746,1061544.281899246,1009716.0422167516,1013376.9144846296,1041195.7450919318,1054575.456247903
2019-07-24,1041196.50957886,1050892.667206611,1069041.4871219934,1010814.8626030185,1011450.3424038603,1046687.908612611,1058211.0195353262
2019-07-25,1035774.55877886,1051096.2016293427,1056806.0481984697,1012812.7178507762,996037.7657577062,1039418.8686587707,1058514.131727019
2019-07-26,1037066.96557886,1044592.1174497716,1068801.5765548656,1003622.5837110906,1001817.482000014,1047818.6481609863,1055720.1505247669
2019-07-29,1034245.9933788601,1033819.607259305,1065382.8509732927,1002124.1922752724,1000854.1959596294,1046472.5296510158,1056662.4728383536
2019-07-30,1031551.40177886,1035445.3062560606,1061064.4607649902,1005720.3317212362,981588.4751519366,1044372.5847754619,1061105.740965994
2019-07-31,1025467.53217886,1021081.9593354389,1048109.2901400828,999526.9804531873,985441.6193134752,1032742.1208493173,1065987.630265143
2019-08-01,1019399.06317886,1013900.2858751278,1043131.1458721786,999427.0876907994,984478.3332730907,1024880.78875109,1050265.9140871859
2019-08-02,1010089.5389788599,991948.8407450062,1029696.1541130153,990137.0607887261,955579.7520615518,1018419.419903232,1075009.6755002392
2019-08-05,997729.37657886,965932.5040267211,996048.697073325,984143.4950454528,944020.3195769362,991173.9812614303,1105980.6094396906
2019-08-06,1007810.4617788602,963899.7361845023,1016681.0058463259,992834.165373199,953653.1799807826,1010611.9325454034,1109650.0499720676
2019-08-07,1015684.35657886,969455.7106480575,1024598.054561547,989537.7042143987,962322.7543442441,1015619.4934024935,1133652.9695283656
2019-08-08,1029921.5195788601,974130.5614081416,1047869.379572955,998428.1600669207,980625.1891115522,1035595.8920904546,1143718.9688119106
2019-08-09,1025402.38517886,968574.5869445862,1039352.5544399138,1004022.1547606423,967139.1845461674,1030049.8838293765,1143988.2037586493
