,159920.SZ,159941.SZ,513000.SH,513030.SH,513500.SH,518880.SH
2019-06-12,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667
2019-06-30,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667
2019-09-30,0.158610,0.103893,0.284340,0.129647,0.123852,0.199658
2019-12-31,0.147349,0.111615,0.267614,0.122693,0.131102,0.219628
2020-03-31,0.182889,0.104987,0.173651,0.109677,0.097815,0.330981
2020-06-30,0.178085,0.109051,0.161658,0.105163,0.100069,0.345975
2020-09-30,0.174728,0.109794,0.161408,0.105384,0.102169,0.346517
2020-12-31,0.175656,0.109987,0.159981,0.105874,0.103125,0.345377
2021-03-31,0.166762,0.130823,0.164162,0.117319,0.127343,0.293591
2021-06-30,0.150297,0.117577,0.170848,0.144693,0.151313,0.265273
2021-09-30,0.139243,0.123193,0.158252,0.144965,0.152365,0.281983
2021-12-31,0.132138,0.124947,0.141959,0.153758,0.160209,0.286988
2022-03-31,0.120442,0.115947,0.157156,0.121386,0.150599,0.334469
2022-06-30,0.114649,0.095778,0.160718,0.111897,0.125864,0.391095
2022-09-30,0.121403,0.091545,0.151145,0.109694,0.121718,0.404495
2022-12-31,0.113033,0.089477,0.150884,0.112154,0.119812,0.414640
2023-03-31,0.124365,0.091029,0.153468,0.117428,0.120914,0.392796
2023-06-30,0.128362,0.101837,0.153254,0.126478,0.133520,0.356549
2023-09-28,0.122237,0.106867,0.158139,0.135401,0.142899,0.334458
2023-12-31,0.129713,0.118928,0.146117,0.137296,0.161074,0.306872
2024-03-31,0.110865,0.126308,0.130955,0.149567,0.168110,0.314196
2024-06-30,0.108457,0.136670,0.133654,0.161161,0.187565,0.272492
2024-09-30,0.121978,0.132407,0.118007,0.175863,0.176565,0.275180
2024-12-31,0.122464,0.127782,0.123923,0.187849,0.173293,0.264689
2025-03-31,0.127270,0.127587,0.137824,0.168829,0.174306,0.264184
2025-06-30,0.121229,0.126586,0.145278,0.161921,0.154112,0.290875
2025-09-30,0.114778,0.132066,0.164347,0.150420,0.156202,0.282187
2025-12-31,0.132490,0.137285,0.159904,0.156986,0.167157,0.246177
2026-03-31,0.143912,0.161996,0.149081,0.187040,0.193070,0.164901
2026-06-30,0.176720,0.165567,0.115921,0.170801,0.242193,0.128798
2026-09-11,0.186691,0.156883,0.108737,0.180647,0.243087,0.123955
