date,bank_shares,chip_shares,bank_value,chip_value,cash,total_value
2022-09-30,5531100.0,4009600.0,5987415.75,3999976.96,70.37,9987463.082187
2022-10-10,5531100.0,4009600.0,5906661.69,3999976.96,70.37,9906709.022187002
2022-10-11,5531100.0,4009600.0,5887855.95,3999976.96,70.37,9887903.282187
2022-10-12,5531100.0,4009600.0,5913852.119999999,3999976.96,70.37,9913899.452187
2022-10-13,5531100.0,4009600.0,5823142.08,3999976.96,70.37,9823189.412187
2022-10-14,5531100.0,4009600.0,5881771.739999999,4001179.84,70.37,9883021.952187
2022-10-17,5531100.0,4009600.0,5874028.2,4001179.84,70.37,9875278.412187
2022-10-18,5531100.0,4009600.0,5866284.66,4001179.84,70.37,9867534.872187
2022-10-19,5531100.0,4009600.0,5799911.46,3989952.96,70.37,9789934.792187002
2022-10-20,5531100.0,4009600.0,5784424.38,3989952.96,70.37,9774447.712187
2022-10-21,5531100.0,4009600.0,5760087.540000001,4117859.1999999997,70.37,9878017.112187002
2022-10-24,5531100.0,4009600.0,5604110.5200000005,4117859.1999999997,70.37,9722040.092187
2022-10-25,5531100.0,4009600.0,5594154.54,4138308.16,70.37,9732533.072187
2022-10-26,5531100.0,4009600.0,5543268.42,4264209.6,70.37,9807548.392187
2022-10-27,5531100.0,4009600.0,5530546.89,4307914.24,70.37,9838531.502187
2022-10-28,5531100.0,4009600.0,5495147.850000001,4277842.24,70.37,9773060.462187001
2022-10-31,5531100.0,4009600.0,5426562.21,4377280.319999999,70.37,9803912.902187001
2022-11-01,5531100.0,4009600.0,5516719.14,4379686.08,70.37,9896475.592187
2022-11-02,5531100.0,4009600.0,5513953.59,4442235.840000001,70.37,9956259.802187001
2022-11-03,5531100.0,4009600.0,5467492.350000001,4623870.72,70.37,10091433.442187
2022-11-04,5531100.0,4009600.0,5572583.25,4632691.84,70.37,10205345.462187
2022-11-07,5531100.0,4009600.0,5569817.699999999,4531248.96,70.37,10101137.032187
2022-11-08,5531100.0,4009600.0,5565945.93,4463085.76,70.37,10029102.062187001
2022-11-09,5531100.0,4009600.0,5568158.369999999,4447448.32,70.37,10015677.062187001
2022-11-10,5531100.0,4009600.0,5579220.569999999,4327561.279999999,70.37,9906852.222187
2022-11-11,5531100.0,4009600.0,5766171.75,4383695.68,70.37,10149937.802187
2022-11-14,5531100.0,4009600.0,5882877.960000001,4398531.2,70.37,10281479.532187002
2022-11-15,5531100.0,4009600.0,5898918.15,4668778.24,70.37,10567766.762187
2022-11-16,5531100.0,4009600.0,5861859.78,4598610.24,70.37,10460540.392187001
2022-11-17,5531100.0,4009600.0,5822035.86,4724912.64,70.37,10547018.872187
2022-11-18,5531100.0,4009600.0,5787743.04,4597808.32,70.37,10385621.732187001
2022-11-21,5531100.0,4009600.0,5770596.629999999,4572547.840000001,70.37,10343214.842187
2022-11-22,5531100.0,4009600.0,5874028.2,4548891.2,70.37,10422989.772187002
2022-11-23,5531100.0,4009600.0,5895599.49,4530848.0,70.37,10426517.862187002
2022-11-24,5531100.0,4009600.0,5883984.180000001,4494360.64,70.37,10378415.192187
2022-11-25,5531100.0,4009600.0,6020602.350000001,4424994.56,70.37,10445667.282187
2022-11-28,5531100.0,4009600.0,5912192.79,4360039.04,70.37,10272302.202187002
2022-11-29,5531100.0,4009600.0,6179344.92,4420584.0,70.37,10599999.292187002
2022-11-30,5531100.0,4009600.0,6148923.869999999,4378483.2,70.37,10527477.442187
2022-12-01,5531100.0,4009600.0,6114631.05,4436221.44,70.37,10550922.862187002
2022-12-02,5531100.0,4009600.0,6070382.25,4415772.4799999995,70.37,10486225.102187
2022-12-05,5531100.0,4009600.0,6235762.14,4433815.68,70.37,10669648.192187
2022-12-06,5531100.0,4009600.0,6226912.38,4534456.64,70.37,10761439.392187
2022-12-07,5531100.0,4009600.0,6159432.96,4505587.52,70.37,10665090.852187
2022-12-08,5531100.0,4009600.0,6209212.86,4445042.5600000005,70.37,10654325.792187002
2022-12-09,5531100.0,4009600.0,6276139.17,4505988.4799999995,70.37,10782198.022187
2022-12-12,5531100.0,4009600.0,6152795.640000001,4584576.64,70.37,10737442.652187001
2022-12-13,5531100.0,4009600.0,6200916.21,4507592.32,70.37,10708578.902187001
2022-12-14,5531100.0,4009600.0,6224146.83,4489549.12,70.37,10713766.322187
2022-12-15,5531100.0,4009600.0,6150030.090000001,4523630.720000001,70.37,10673731.182187002
2022-12-16,5531100.0,4009600.0,6223040.61,4434617.600000001,70.37,10657728.582187
2022-12-19,5531100.0,4009600.0,6121268.37,4315131.5200000005,70.37,10436470.262187
2022-12-20,5531100.0,4009600.0,6034983.21,4295484.4799999995,70.37,10330538.062187001
2022-12-21,5531100.0,4009600.0,6065404.26,4232533.760000001,70.37,10298008.392187001
2022-12-22,5531100.0,4009600.0,6086422.44,4180008.0,70.37,10266500.812187001
2022-12-23,5531100.0,4009600.0,6062638.71,4083777.5999999996,70.37,10146486.682187
2022-12-26,5531100.0,4009600.0,6033323.88,4173592.6399999997,70.37,10206986.892187
2022-12-27,5531100.0,4009600.0,6137308.56,4224113.600000001,70.37,10361492.532187
2022-12-28,5531100.0,4009600.0,6197044.44,4152742.72,70.37,10349857.532187002
2022-12-29,5531100.0,4009600.0,6163304.73,4153143.68,70.37,10316518.782187002
2022-12-30,5531100.0,4009600.0,6201469.32,4113448.64,70.37,10314988.332187
2022-12-31,5520000.0,4021700.0,6188472.0,4125459.8600000003,69.2,10314001.062187001
2023-01-03,5520000.0,4021700.0,6217728.0,4217958.96,69.2,10435756.162187
2023-01-04,5520000.0,4021700.0,6339720.0,4189002.72,69.2,10528791.922187
2023-01-05,5520000.0,4021700.0,6332544.0,4233241.42,69.2,10565854.622187
2023-01-06,5520000.0,4021700.0,6322056.0,4217154.62,69.2,10539279.822187
2023-01-09,5520000.0,4021700.0,6333648.0,4232034.91,69.2,10565752.112187002
2023-01-10,5520000.0,4021700.0,6265200.0,4271849.74,69.2,10537118.942187
2023-01-11,5520000.0,4021700.0,6322608.0,4219969.81,69.2,10542647.012187
2023-01-12,5520000.0,4021700.0,6324264.0,4200263.4799999995,69.2,10524596.682187
2023-01-13,5520000.0,4021700.0,6391608.0,4193426.59,69.2,10585103.792187002
2023-01-16,5520000.0,4021700.0,6405960.000000001,4315284.1,69.2,10721313.302187001
2023-01-17,5520000.0,4021700.0,6403751.999999999,4448000.2,69.2,10851821.402187001
2023-01-18,5520000.0,4021700.0,6407064.0,4433924.25,69.2,10841057.452187002
2023-01-19,5520000.0,4021700.0,6410376.0,4556586.1,69.2,10967031.302187
2023-01-20,5520000.0,4021700.0,6422520.0,4550955.72,69.2,10973544.922187
2023-01-30,5520000.0,4021700.0,6441288.0,4510336.55,69.2,10951693.752187
2023-01-31,5520000.0,4021700.0,6379464.0,4388479.04,69.2,10768012.242187
2023-02-01,5520000.0,4021700.0,6350760.0,4483391.16,69.2,10834220.362187002
2023-02-02,5520000.0,4021700.0,6317640.0,4563422.99,69.2,10881132.192187
2023-02-03,5520000.0,4021700.0,6258024.0,4573879.41,69.2,10831972.612187002
2023-02-06,5520000.0,4021700.0,6201720.0,4534466.75,69.2,10736255.952187002
2023-02-07,5520000.0,4021700.0,6222144.0,4505912.680000001,69.2,10728125.882187001
2023-02-08,5520000.0,4021700.0,6210552.0,4454032.75,69.2,10664653.952187002
2023-02-09,5520000.0,4021700.0,6233736.0,4659139.45,69.2,10892944.652187001
2023-02-10,5520000.0,4021700.0,6226559.999999999,4634204.91,69.2,10860834.112187
2023-02-13,5520000.0,4021700.0,6179088.0,4676030.59,69.2,10855187.792187002
2023-02-14,5520000.0,4021700.0,6203927.999999999,4661150.3,69.2,10865147.502186999
2023-02-15,5520000.0,4021700.0,6147072.0,4741182.13,69.2,10888323.332187
2023-02-16,5520000.0,4021700.0,6137688.000000001,4612487.73,69.2,10750244.932187002
2023-02-17,5520000.0,4021700.0,6088560.0,4475347.76,69.2,10563976.962187
2023-02-20,5520000.0,4021700.0,6247536.0,4519988.63,69.2,10767593.832187
2023-02-21,5520000.0,4021700.0,6254160.0,4489825.88,69.2,10744055.082187
2023-02-22,5520000.0,4021700.0,6208896.0,4511543.06,69.2,10720508.262187
2023-02-23,5520000.0,4021700.0,6213864.0,4486206.35,69.2,10700139.552187
2023-02-24,5520000.0,4021700.0,6164184.0,4494651.92,69.2,10658905.122187
2023-02-27,5520000.0,4021700.0,6133824.0,4430304.72,69.2,10564197.922187
2023-02-28,5520000.0,4021700.0,6156456.0,4439554.630000001,69.2,10596079.832187
2023-03-01,5520000.0,4021700.0,6228216.0,4489423.71,69.2,10717708.912187
2023-03-02,5520000.0,4021700.0,6245880.0,4454032.75,69.2,10699981.952187002
2023-03-03,5520000.0,4021700.0,6297216.0,4569455.54,69.2,10866740.742187
2023-03-06,5520000.0,4021700.0,6202272.0,4645867.84,69.2,10848209.042187002
2023-03-07,5520000.0,4021700.0,6206136.0,4532053.73,69.2,10738258.932187002
2023-03-08,5520000.0,4021700.0,6169704.0,4587955.36,69.2,10757728.562187001
2023-03-09,5520000.0,4021700.0,6133824.0,4652704.73,69.2,10786597.932187002
2023-03-10,5520000.0,4021700.0,6052128.0,4641041.8,69.2,10693239.002187
2023-03-13,5520000.0,4021700.0,6067584.0,4641846.14,69.2,10709499.342187
2023-03-14,5520000.0,4021700.0,6023424.0,4791855.55,69.2,10815348.752187
2023-03-15,5520000.0,4021700.0,6079728.0,4791855.55,69.2,10871652.752187
2023-03-16,5520000.0,4021700.0,6089664.0,4744399.49,69.2,10834132.692187
2023-03-17,5520000.0,4021700.0,6079728.0,4918136.930000001,69.2,10997934.132187001
2023-03-20,5520000.0,4021700.0,6064272.0,5048037.840000001,69.2,11112379.042187002
2023-03-21,5520000.0,4021700.0,6047711.999999999,5041603.12,69.2,11089384.322186999
2023-03-22,5520000.0,4021700.0,6104568.000000001,5102732.96,69.2,11207370.162187003
2023-03-23,5520000.0,4021700.0,6144864.0,5288133.33,69.2,11433066.532187
2023-03-24,5520000.0,4021700.0,6080280.0,5218557.92,69.2,11298907.122187
2023-03-27,5520000.0,4021700.0,6023976.0,5148982.51,69.2,11173027.712187
2023-03-28,5520000.0,4021700.0,6049920.000000001,5001386.12,69.2,11051375.322187003
2023-03-29,5520000.0,4021700.0,6030048.0,5208905.84,69.2,11239023.042187002
2023-03-30,5520000.0,4021700.0,6072552.0,5244296.8,69.2,11316918.002187
2023-03-31,6225200.0,3436600.0,6816594.0,4545590.82,32.84,11362217.660456002
2023-04-03,6225200.0,3436600.0,6826554.32,4790620.399999999,32.84,11617207.560456
2023-04-04,6225200.0,3436600.0,6868885.68,4890969.12,32.84,11759887.640456
2023-04-06,6225200.0,3436600.0,6845229.919999999,5060393.5,32.84,11905656.260456
2023-04-07,6225200.0,3436600.0,6865150.56,5166928.100000001,32.84,12032111.500456002
2023-04-10,6225200.0,3436600.0,6883826.159999999,4956951.84,32.84,11840810.840456
2023-04-11,6225200.0,3436600.0,6864528.04,4896467.680000001,32.84,11761028.560456
2023-04-12,6225200.0,3436600.0,6890673.88,4991661.5,32.84,11882368.220456
2023-04-13,6225200.0,3436600.0,6949190.760000001,4821549.8,32.84,11770773.400456
2023-04-14,6225200.0,3436600.0,6977204.16,5112973.48,32.84,12090210.480456002
2023-04-17,6225200.0,3436600.0,7104820.76,5099914.4,32.84,12204768.000456002
2023-04-18,6225200.0,3436600.0,7179523.16,4991317.84,32.84,12170873.840456001
2023-04-19,6225200.0,3436600.0,7170185.359999999,5084793.36,32.84,12255011.560456
2023-04-20,6225200.0,3436600.0,7158357.4799999995,5309890.66,32.84,12468280.980456
2023-04-21,6225200.0,3436600.0,7073694.760000001,5005064.239999999,32.84,12078791.840456001
2023-04-24,6225200.0,3436600.0,7016422.92,4892687.42,32.84,11909143.180456001
2023-04-25,6225200.0,3436600.0,7132211.64,4812270.98,32.84,11944515.460456
2023-04-26,6225200.0,3436600.0,7074317.28,4645252.22,32.84,11719602.340456001
2023-04-27,6225200.0,3436600.0,7066224.52,4649376.14,32.84,11715633.500456
2023-04-28,6225200.0,3436600.0,7138436.840000001,4794744.32,32.84,11933214.000456002
2023-05-04,6225200.0,3436600.0,7323325.279999999,4622570.66,32.84,11945928.780456
2023-05-05,6225200.0,3436600.0,7404875.4,4551089.38,32.84,11955997.620456
2023-05-08,6225200.0,3436600.0,7709910.199999999,4561055.52,32.84,12270998.560456
2023-05-09,6225200.0,3436600.0,7628982.600000001,4418780.28,32.84,12047795.720456
2023-05-10,6225200.0,3436600.0,7396160.119999999,4354859.5200000005,32.84,11751052.480456
2023-05-11,6225200.0,3436600.0,7375616.960000001,4381665.0,32.84,11757314.800456002
2023-05-12,6225200.0,3436600.0,7309629.84,4344549.72,32.84,11654212.400456
2023-05-15,6225200.0,3436600.0,7382464.68,4362763.7,32.84,11745261.220456
2023-05-16,6225200.0,3436600.0,7368146.72,4378572.06,32.84,11746751.620455999
2023-05-17,6225200.0,3436600.0,7313987.48,4410532.44,32.84,11724552.760456001
2023-05-18,6225200.0,3436600.0,7384332.239999999,4469298.3,32.84,11853663.380456
2023-05-19,6225200.0,3436600.0,7289086.680000001,4535281.0200000005,32.84,11824400.540456
2023-05-22,6225200.0,3436600.0,7307762.279999999,4478233.46,32.84,11786028.580456
2023-05-23,6225200.0,3436600.0,7180145.68,4380977.68,32.84,11561156.200456
2023-05-24,6225200.0,3436600.0,7025760.720000001,4373417.16,32.84,11399210.720456
2023-05-25,6225200.0,3436600.0,7003350.0,4449366.02,32.84,11452748.860456001
2023-05-26,6225200.0,3436600.0,7065602.0,4578582.18,32.84,11644217.020456001
2023-05-29,6225200.0,3436600.0,7088012.720000001,4649032.48,32.84,11737078.040456
2023-05-30,6225200.0,3436600.0,7050039.0,4701268.800000001,32.84,11751340.640456002
2023-05-31,6225200.0,3436600.0,7010197.720000001,4782028.899999999,32.84,11792259.460456
2023-06-01,6225200.0,3436600.0,6985919.44,4691646.32,32.84,11677598.600456001
2023-06-02,6225200.0,3436600.0,7069959.64,4644564.899999999,32.84,11714557.380456
2023-06-05,6225200.0,3436600.0,7121006.279999999,4671370.38,32.84,11792409.500456
2023-06-06,6225200.0,3436600.0,7111045.960000001,4529095.140000001,32.84,11640173.940456003
2023-06-07,6225200.0,3436600.0,7168317.8,4515005.08,32.84,11683355.720456
2023-06-08,6225200.0,3436600.0,7302782.12,4410532.44,32.84,11713347.400456
2023-06-09,6225200.0,3436600.0,7265430.92,4488199.600000001,32.84,11753663.360456001
2023-06-12,6225200.0,3436600.0,7177655.600000001,4465861.7,32.84,11643550.140456002
2023-06-13,6225200.0,3436600.0,7195086.159999999,4622914.32,32.84,11818033.320456
2023-06-14,6225200.0,3436600.0,7091125.32,4636660.72,32.84,11727818.880456
2023-06-15,6225200.0,3436600.0,7131589.12,4559337.22,32.84,11690959.180456001
2023-06-16,6225200.0,3436600.0,7112913.5200000005,4599889.1,32.84,11712835.460456
2023-06-19,6225200.0,3436600.0,7035098.5200000005,4623257.9799999995,32.84,11658389.340456001
2023-06-20,6225200.0,3436600.0,6997747.32,4609511.58,32.84,11607291.740456
2023-06-21,6225200.0,3436600.0,6994634.72,4383039.640000001,32.84,11377707.200456
2023-06-26,6225200.0,3436600.0,6895031.52,4305372.4799999995,32.84,11200436.840456
2023-06-27,6225200.0,3436600.0,6962263.680000001,4266195.24,32.84,11228491.760456001
2023-06-28,6225200.0,3436600.0,6976581.640000001,4285440.2,32.84,11262054.680456001
2023-06-29,6225200.0,3436600.0,6936740.36,4252792.5,32.84,11189565.700456
2023-06-30,6023400.0,3618000.0,6760061.82,4506219.0,60.36,11266341.176304001
2023-07-03,6023400.0,3618000.0,6873904.08,4549273.2,60.36,11423237.636304002
2023-07-04,6023400.0,3618000.0,6814272.42,4647682.8,60.36,11462015.576304
2023-07-05,6023400.0,3618000.0,6779939.04,4584006.0,60.36,11364005.396304
2023-07-06,6023400.0,3618000.0,6725728.44,4587624.0,60.36,11313412.796304002
2023-07-07,6023400.0,3618000.0,6725126.100000001,4527203.4,60.36,11252389.856304001
2023-07-10,6023400.0,3618000.0,6726933.12,4520329.2,60.36,11247322.676304001
2023-07-11,6023400.0,3618000.0,6773313.300000001,4623080.4,60.36,11396454.056304002
2023-07-12,6023400.0,3618000.0,6801020.94,4491023.4,60.36,11292104.696304
2023-07-13,6023400.0,3618000.0,6894383.640000001,4572066.600000001,60.36,11466510.596304003
2023-07-14,6023400.0,3618000.0,6907635.12,4564107.0,60.36,11471802.476304002
2023-07-17,6023400.0,3618000.0,6876915.779999999,4506219.0,60.36,11383195.136304
2023-07-18,6023400.0,3618000.0,6850412.82,4480169.399999999,60.36,11330642.576304
2023-07-19,6023400.0,3618000.0,6881132.16,4424090.4,60.36,11305282.916304002
2023-07-20,6023400.0,3618000.0,6896793.0,4344856.2,60.36,11241709.556304
2023-07-21,6023400.0,3618000.0,6903418.739999999,4296736.8,60.36,11200215.896304
2023-07-24,6023400.0,3618000.0,6875108.76,4278285.0,60.36,11153454.116304
2023-07-25,6023400.0,3618000.0,7063038.840000001,4330384.2,60.36,11393483.396304002
2023-07-26,6023400.0,3618000.0,7060629.4799999995,4333278.6,60.36,11393968.436304
2023-07-27,6023400.0,3618000.0,7118454.12,4259471.4,60.36,11377985.876304
2023-07-28,6023400.0,3618000.0,7332284.82,4277199.6,60.36,11609544.776304001
2023-07-31,6023400.0,3618000.0,7390711.800000001,4309038.0,60.36,11699810.156304002
2023-08-01,6023400.0,3618000.0,7347945.66,4305420.0,60.36,11653426.016304001
2023-08-02,6023400.0,3618000.0,7208805.12,4322062.800000001,60.36,11530928.276304003
2023-08-03,6023400.0,3618000.0,7302167.819999999,4331107.8,60.36,11633335.976304
2023-08-04,6023400.0,3618000.0,7326261.42,4341600.0,60.36,11667921.776304001
2023-08-07,6023400.0,3618000.0,7258799.340000001,4322424.600000001,60.36,11581284.296304002
2023-08-08,6023400.0,3618000.0,7226875.32,4308314.4,60.36,11535250.076304002
2023-08-09,6023400.0,3618000.0,7243138.499999999,4256577.0,60.36,11499775.856304001
2023-08-10,6023400.0,3618000.0,7239524.46,4262727.6,60.36,11502312.416304
2023-08-11,6023400.0,3618000.0,7102793.28,4165765.1999999997,60.36,11268618.836304002
