date,策略净值,银行ETF基准净值,芯片ETF基准净值
2022-09-30,12977.7,13000.0,13000.0
2022-10-10,12874.04,12824.665127020786,13000.0
2022-10-11,12849.9,12783.833718244803,13000.0
2022-10-12,12883.27,12840.277136258659,13000.0
2022-10-13,12766.83,12643.325635103925,13000.0
2022-10-14,12843.649999999998,12770.623556581986,13003.909382518043
2022-10-17,12833.71,12753.810623556583,13003.909382518043
2022-10-18,12823.77,12736.997690531178,13003.909382518043
2022-10-19,12724.009999999998,12592.886836027714,12967.42181234964
2022-10-20,12704.13,12559.260969976905,12967.42181234964
2022-10-21,12838.77,12506.420323325636,13383.11948676824
2022-10-24,12638.55,12167.759815242496,13383.11948676824
2022-10-25,12652.29,12146.143187066975,13449.578989574979
2022-10-26,12750.25,12035.65819861432,13858.761026463511
2022-10-27,12790.599999999999,12008.036951501155,14000.801924619085
2022-10-28,12706.16,11931.177829099308,13903.067361668003
2022-10-31,12747.079999999998,11782.263279445728,14226.24298315958
2022-11-01,12865.93,11978.013856812931,14234.06174819567
2022-11-02,12943.5,11972.009237875289,14437.349639133921
2022-11-03,13119.42,11871.131639722864,15027.66639935846
2022-11-04,13265.759999999998,12099.30715935335,15056.335204490779
2022-11-07,13130.649999999998,12093.302540415703,14726.643945469126
2022-11-08,13037.279999999999,12084.896073903,14505.11226944667
2022-11-09,13019.84,12089.699769053117,14454.290296712106
2022-11-10,12878.559999999998,12113.718244803695,14064.655172413793
2022-11-11,13191.34,12519.630484988453,14247.093023255813
2022-11-14,13360.39,12773.025404157046,14295.308740978347
2022-11-15,13731.46,12807.85219399538,15173.616680032077
2022-11-16,13592.89,12727.390300230947,14945.569366479549
2022-11-17,13705.57,12640.923787528867,15356.054530874095
2022-11-18,13496.71,12566.466512702078,14942.963111467523
2022-11-21,13441.939999999999,12529.237875288682,14860.866078588611
2022-11-22,13544.03,12753.810623556583,14783.981555733762
2022-11-23,13548.32,12800.646651270208,14725.34081796311
2022-11-24,13486.09,12775.427251732102,14606.756214915797
2022-11-25,13571.5,13072.055427251731,14381.3151563753
2022-11-28,13348.099999999999,12836.674364896073,14170.20850040096
2022-11-29,13769.55,13416.720554272519,14366.980753809143
2022-11-30,13675.9,13350.669745958427,14230.152365677628
2022-12-01,13706.759999999998,13276.21247113164,14417.802726543707
2022-12-02,13623.439999999999,13180.138568129327,14351.343223736967
2022-12-05,13859.13,13539.21478060046,14409.983961507616
2022-12-06,13978.289999999999,13519.999999999998,14737.068965517241
2022-12-07,13854.23,13373.487297921478,14643.2437850842
2022-12-08,13839.61,13481.570438799077,14446.471531676021
2022-12-09,14004.559999999998,13626.88221709007,14644.546912590215
2022-12-12,13948.15,13359.076212471133,14899.959903769046
2022-12-13,13910.079999999998,13463.556581986144,14649.759422614276
2022-12-14,13916.5,13513.995381062356,14591.118684843625
2022-12-15,13865.560000000001,13353.07159353349,14701.884522854853
2022-12-16,13843.84,13511.593533487297,14412.59021651965
2022-12-19,13558.239999999998,13290.623556581988,14024.258219727346
2022-12-20,13421.999999999998,13103.279445727483,13960.404971932638
2022-12-21,13379.41,13169.33025404157,13755.813953488374
2022-12-22,13338.27,13214.965357967667,13585.10425020048
2022-12-23,13182.939999999999,13163.325635103927,13272.353648757016
2022-12-26,13261.789999999999,13099.676674364897,13564.254210104249
2022-12-27,13460.79,13325.45034642032,13728.44827586207
2022-12-28,13444.91,13455.150115473441,13496.4915797915
2022-12-29,13402.119999999999,13381.89376443418,13497.794707297515
2022-12-30,13399.63,13464.757505773672,13368.785084202083
2022-12-31,13398.399999999998,13463.556581986144,13367.481956696072
2023-01-03,13555.630000000001,13527.205542725174,13667.20128307939
2023-01-04,13675.099999999999,13792.609699769053,13573.376102646353
2023-01-05,13723.07,13776.997690531176,13716.72012830794
2023-01-06,13688.779999999999,13754.180138568128,13664.59502806736
2023-01-09,13722.93,13779.399538106236,13712.810745789895
2023-01-10,13686.369999999999,13630.484988452657,13841.820368885323
2023-01-11,13693.130000000001,13755.381062355656,13673.71692060946
2023-01-12,13669.779999999999,13758.983833718245,13609.863672814754
2023-01-13,13747.560000000001,13905.496535796765,13587.710505212508
2023-01-16,13923.579999999998,13936.720554272519,13982.558139534882
2023-01-17,14092.34,13931.9168591224,14412.59021651965
2023-01-18,14078.400000000001,13939.122401847575,14366.980753809143
2023-01-19,14241.26,13946.327944572748,14764.434643143544
2023-01-20,14249.599999999999,13972.748267898383,14746.19085805934
2023-01-30,14221.219999999998,14013.579676674364,14614.574979951882
2023-01-31,13984.139999999998,13879.076212471131,14219.72734562951
2023-02-01,14069.939999999999,13816.62817551963,14527.265437048916
2023-02-02,14130.820000000002,13744.5727482679,14786.58781074579
2023-02-03,14067.66,13614.87297921478,14820.469125902164
2023-02-06,13944.279999999999,13492.378752886834,14692.762630312749
