date,159985.SZ_shares,518880.SH_shares,159980.SZ_shares,159981.SZ_shares,161226.SZ_shares,501018.SH_shares,165513.SZ_shares,159985.SZ_value,518880.SH_value,159980.SZ_value,159981.SZ_value,161226.SZ_value,501018.SH_value,165513.SZ_value,cash,total_value
2019-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2019-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2020-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0
2020-01-23,0.0,2571000.0,0.0,0.0,0.0,0.0,0.0,0.0,3333301.5,0.0,0.0,0.0,0.0,0.0,6663127.51,9996429.00955
2020-02-03,0.0,2571000.0,0.0,0.0,0.0,0.0,0.0,0.0,3411842.979,0.0,0.0,0.0,0.0,0.0,6663127.51,10074970.48855
2020-02-04,0.0,2571000.0,0.0,0.0,0.0,0.0,0.0,0.0,3392038.5659999996,0.0,0.0,0.0,0.0,0.0,6663127.51,10055166.07555
2020-02-05,0.0,2571000.0,0.0,0.0,0.0,0.0,0.0,0.0,3369318.639,0.0,0.0,0.0,0.0,0.0,6663127.51,10032446.14855
2020-02-06,0.0,2571000.0,0.0,0.0,0.0,0.0,0.0,0.0,3347184.9000000004,0.0,0.0,0.0,0.0,0.0,6663127.51,10010312.40955
2020-02-07,0.0,2571000.0,0.0,0.0,0.0,0.0,0.0,0.0,3370290.477,0.0,0.0,0.0,0.0,0.0,6663127.51,10033417.98655
2020-02-10,0.0,2571000.0,0.0,0.0,0.0,0.0,0.0,0.0,3381551.457,0.0,0.0,0.0,0.0,0.0,6663127.51,10044678.96655
2020-02-11,0.0,2571000.0,0.0,0.0,0.0,0.0,0.0,0.0,3376018.665,0.0,0.0,0.0,0.0,0.0,6663127.51,10039146.17455
2020-02-12,0.0,2571000.0,0.0,0.0,0.0,0.0,0.0,0.0,3361358.823,0.0,0.0,0.0,0.0,0.0,6663127.51,10024486.33255
2020-02-13,0.0,2571000.0,0.0,0.0,0.0,0.0,0.0,0.0,3385824.4590000003,0.0,0.0,0.0,0.0,0.0,6663127.51,10048951.96855
2020-02-14,0.0,2571000.0,0.0,0.0,0.0,0.0,0.0,0.0,3389125.623,0.0,0.0,0.0,0.0,0.0,6663127.51,10052253.13255
2020-02-17,0.0,2571000.0,0.0,0.0,0.0,0.0,0.0,0.0,3403299.546,0.0,0.0,0.0,0.0,0.0,6663127.51,10066427.05555
2020-02-18,0.0,2571000.0,0.0,0.0,0.0,0.0,0.0,0.0,3421746.471,0.0,0.0,0.0,0.0,0.0,6663127.51,10084873.980549999
2020-02-19,0.0,2571000.0,0.0,0.0,0.0,0.0,0.0,0.0,3458830.575,0.0,0.0,0.0,0.0,0.0,6663127.51,10121958.08455
2020-02-20,0.0,2571000.0,0.0,0.0,0.0,0.0,0.0,0.0,3470094.126,0.0,0.0,0.0,0.0,0.0,6663127.51,10133221.63555
2020-02-21,0.0,2571000.0,0.0,0.0,0.0,0.0,0.0,0.0,3541547.3579999995,0.0,0.0,0.0,0.0,0.0,6663127.51,10204674.867549999
2020-02-24,0.0,2571000.0,0.0,0.0,0.0,0.0,0.0,0.0,3609604.299,0.0,0.0,0.0,0.0,0.0,6663127.51,10272731.80855
2020-02-25,0.0,2571000.0,0.0,0.0,0.0,0.0,0.0,0.0,3539022.6360000004,0.0,0.0,0.0,0.0,0.0,6663127.51,10202150.14555
2020-02-26,0.0,2571000.0,0.0,0.0,0.0,0.0,0.0,0.0,3560187.108,0.0,0.0,0.0,0.0,0.0,6663127.51,10223314.61755
2020-02-27,0.0,2571000.0,0.0,0.0,0.0,0.0,0.0,0.0,3555721.281,0.0,0.0,0.0,0.0,0.0,6663127.51,10218848.79055
2020-02-28,3581400.0,2489100.0,0.0,0.0,3906900.0,0.0,0.0,3377618.3400000003,3387373.8753,0.0,0.0,3387282.3,0.0,0.0,50.08,10152324.595462691
2020-03-02,3581400.0,2489100.0,0.0,0.0,3906900.0,0.0,0.0,3435278.8800000004,3328441.9437,0.0,0.0,3273982.1999999997,0.0,0.0,50.08,10037753.103862692
2020-03-03,3581400.0,2489100.0,0.0,0.0,3906900.0,0.0,0.0,3471451.02,3324586.3278,0.0,0.0,3270075.3,0.0,0.0,50.08,10066162.727962688
2020-03-04,3581400.0,2489100.0,0.0,0.0,3906900.0,0.0,0.0,3466795.1999999997,3383615.3342999998,0.0,0.0,3324771.9,0.0,0.0,50.08,10175232.51446269
2020-03-05,3581400.0,2489100.0,0.0,0.0,3906900.0,0.0,0.0,3464288.22,3397337.7426,0.0,0.0,3313051.1999999997,0.0,0.0,50.08,10174727.242762689
2020-03-06,3581400.0,2489100.0,0.0,0.0,3906900.0,0.0,0.0,3444590.52,3452227.3758,0.0,0.0,3348213.3,0.0,0.0,50.08,10245081.275962688
