date,策略净值,等权基准净值
2019-12-30,10000000.0,10000000.000000002
2019-12-31,10000000.0,9999766.164604124
2020-01-02,10000000.0,9981123.389688717
2020-01-03,10000000.0,10078303.81254778
2020-01-06,10000000.0,10109674.336320028
2020-01-07,10000000.0,10079659.099995613
2020-01-08,10000000.0,10046070.294817436
2020-01-09,10000000.0,9949733.022392428
2020-01-10,10000000.0,9901566.21687329
2020-01-13,10000000.0,9856628.457209762
2020-01-14,10000000.0,9820519.150906138
2020-01-15,10000000.0,9812585.22187522
2020-01-16,10000000.0,9856381.894082593
2020-01-17,10000000.0,9860864.162189769
2020-01-20,10000000.0,9865534.087477025
2020-01-21,10000000.0,9856193.533262452
2020-01-22,10000000.0,9763850.236964386
2020-01-23,9996429.00955,9704470.873291317
2020-02-03,10074970.48855,9358656.448223451
2020-02-04,10055166.07555,9364841.02587307
2020-02-05,10032446.14855,9418346.389051935
2020-02-06,10010312.40955,9420313.890065722
2020-02-07,10033417.98655,9427421.959552268
2020-02-10,10044678.96655,9408220.098996548
2020-02-11,10039146.17455,9427188.626626197
2020-02-12,10024486.33255,9432177.32122394
2020-02-13,10048951.96855,9468361.228690045
2020-02-14,10052253.13255,9495488.94493347
2020-02-17,10066427.05555,9527116.103725633
2020-02-18,10084873.980549999,9532880.622385502
2020-02-19,10121958.08455,9626931.074842151
2020-02-20,10133221.63555,9662130.182953853
2020-02-21,10204674.867549999,9685830.791472679
2020-02-24,10272731.80855,9625858.541687408
2020-02-25,10202150.14555,9514550.361422231
2020-02-26,10223314.61755,9459812.515578102
2020-02-27,10218848.79055,9371999.383886809
2020-02-28,10152324.595462691,9191100.885930559
2020-03-02,10037753.103862692,9210808.423284087
2020-03-03,10066162.727962688,9248137.856364507
2020-03-04,10175232.51446269,9282123.445086135
2020-03-05,10174727.242762689,9245315.356599836
2020-03-06,10245081.275962688,9136357.42184704
2020-03-09,10098454.334962688,8712588.138066592
2020-03-10,10075433.969362691,8748779.315561365
2020-03-11,10123907.791762691,8757455.404573858
2020-03-12,9983429.494462688,8581625.112538569
2020-03-13,9721469.990062688,8484682.89985422
2020-03-16,9484323.18566269,8262051.518744831
