date,stock_code,name,industry,dividend_yield,roe,factor,selected
2022-07-01,000933,神火股份,有色金属,3.499222127914179e-06,18.83,6.5890352668624e-05,1
2022-07-01,000651,格力电器,家用电器,1.1266337958963498e-05,3.98,4.484002507667472e-05,1
2022-07-01,603156,养元饮品,食品饮料,8.888887640169265e-06,4.12,3.662221707749737e-05,1
2022-07-01,600028,中国石化,石油石化,1.151960773470418e-05,2.88,3.3176470275948035e-05,1
2022-07-01,002532,天山铝业,有色金属,6.172838992019034e-06,5.06,3.123456529961631e-05,0
2022-07-01,601088,中国神华,煤炭,5.4649758530331145e-06,4.9,2.6778381679862263e-05,0
2022-07-01,601225,陕西煤业,煤炭,3.676470588235294e-06,6.45,2.3713235294117647e-05,0
2022-07-01,601166,兴业银行,银行,5.201004974040073e-06,3.95,2.0543969647458287e-05,0
2022-07-01,601939,建设银行,银行,5.361869834741598e-06,3.37,1.8069501343079186e-05,0
2022-07-01,600887,伊利股份,食品饮料,2.497398568325643e-06,7.12,1.7781477806478578e-05,0
2022-07-01,601006,大秦铁路,交通运输,7.261662717526235e-06,2.36,1.7137524013361913e-05,0
2022-07-01,000333,美的集团,家用电器,2.838778893805492e-06,5.58,1.5840386227434645e-05,0
2022-07-01,601398,工商银行,银行,5.576516116789791e-06,2.75,1.5335419321171923e-05,0
2022-07-01,600377,宁沪高速,交通运输,5.4117651798131055e-06,2.57,1.390823651211968e-05,0
2022-07-01,601857,中国石油,石油石化,4.300189767133525e-06,3.04,1.3072576892085917e-05,0
2022-07-01,600036,招商银行,银行,3.027988164130872e-06,4.11,1.2445031354577885e-05,0
2022-07-01,000703,恒逸石化,石油石化,2.8674688297614542e-06,2.79,8.000238035034457e-06,0
2022-07-01,601728,中国电信,通信,4.569892418935757e-06,1.67,7.631720339622715e-06,0
2022-07-01,600900,长江电力,公用事业,2.878289455332502e-06,1.72,4.950657863171904e-06,0
2022-07-01,600795,国电电力,公用事业,1.0050251811067455e-06,2.29,2.301507664734447e-06,0
2022-07-01,600941,中国移动,通信,1.4544008022747277e-07,2.12,3.083329700822423e-07,0
2022-10-10,601225,陕西煤业,煤炭,5.839100346020761e-06,20.05,0.00011707396193771626,1
2022-10-10,000651,格力电器,家用电器,9.16004951324995e-06,7.75,7.09903837276871e-05,1
2022-10-10,000933,神火股份,有色金属,2.750611315766464e-06,21.26,5.847799657319503e-05,1
2022-10-10,601088,中国神华,煤炭,7.942464017083413e-06,5.79,4.5986866658912966e-05,1
2022-10-10,600938,中国海油,石油石化,6.097622016846647e-06,7.07,4.3110187659105797e-05,0
2022-10-10,600028,中国石化,石油石化,1.0829493084629231e-05,2.65,2.869815667426746e-05,0
2022-10-10,601006,大秦铁路,交通运输,7.153502158443291e-06,3.45,2.4679582446629354e-05,0
2022-10-10,000333,美的集团,家用电器,3.425492326683205e-06,6.73,2.305356335857797e-05,0
2022-10-10,002532,天山铝业,有色金属,5.714285346648978e-06,4.01,2.29142842400624e-05,0
2022-10-10,600377,宁沪高速,交通运输,6.3888892411676526e-06,3.07,1.9613889970384694e-05,0
2022-10-10,601728,中国电信,通信,7.474226765305055e-06,2.55,1.905927825152789e-05,0
2022-10-10,601857,中国石油,石油石化,5.669829240237545e-06,3.28,1.8597039907979148e-05,0
2022-10-10,601939,建设银行,银行,6.594203182092148e-06,2.73,1.8002174687111566e-05,0
2022-10-10,600036,招商银行,银行,4.786212774508505e-06,3.75,1.7948297904406894e-05,0
2022-10-10,601398,工商银行,银行,6.727067106854301e-06,2.43,1.634677306965595e-05,0
2022-10-10,600887,伊利股份,食品饮料,2.972501144055712e-06,5.34,1.58731561092575e-05,0
2022-10-10,600900,长江电力,公用事业,3.490154120143436e-06,4.54,1.58452997054512e-05,0
2022-10-10,603156,养元饮品,食品饮料,1.0881393926079234e-05,1.44,1.5669207253554097e-05,0
2022-10-10,601166,兴业银行,银行,6.2765152080490585e-06,2.45,1.5377462259720196e-05,0
2022-10-10,000703,恒逸石化,石油石化,2.577628384878465e-06,3.95,1.0181632120269937e-05,0
2022-10-10,600941,中国移动,通信,2.3690244957810539e-07,3.58,8.481107694896173e-07,0
2022-10-10,600795,国电电力,公用事业,0.0,2.71,0.0,0
2023-01-03,000651,格力电器,家用电器,9.075494797336848e-06,7.16,6.498054274893183e-05,1
2023-01-03,600938,中国海油,石油石化,6.7618274198874905e-06,6.61,4.469567924545631e-05,1
2023-01-03,601088,中国神华,煤炭,9.068189996414128e-06,4.74,4.298322058300297e-05,1
2023-01-03,000933,神火股份,有色金属,2.964426593167453e-06,9.6,2.845849529440755e-05,1
2023-01-03,603156,养元饮品,食品饮料,9.302326401944123e-06,2.91,2.70697698296574e-05,0
2023-01-03,601225,陕西煤业,煤炭,7.226980728051391e-06,3.73,2.695663811563169e-05,0
2023-01-03,600377,宁沪高速,交通运输,5.502392226912755e-06,4.41,2.4265549720685248e-05,0
2023-01-03,601166,兴业银行,银行,5.824408190772999e-06,3.75,2.1841530715398745e-05,0
2023-01-03,601939,建设银行,银行,6.465364433732146e-06,3.14,2.030124432191894e-05,0
2023-01-03,000333,美的集团,家用电器,3.2170458819944143e-06,6.3,2.026738905656481e-05,0
2023-01-03,601006,大秦铁路,交通运输,7.2507475891889345e-06,2.76,2.0012063346161457e-05,0
2023-01-03,601398,工商银行,银行,6.8051073159122086e-06,2.81,1.9122351557713307e-05,0
2023-01-03,600028,中国石化,石油石化,1.0786483788779856e-05,1.67,1.801342792726236e-05,0
2023-01-03,601857,中国石油,石油石化,5.964071848923658e-06,2.83,1.687832333245395e-05,0
2023-01-03,600036,招商银行,银行,4.050068276649259e-06,4.15,1.6807783348094426e-05,0
2023-01-03,600900,长江电力,公用事业,3.8990913151048335e-06,4.28,1.6688110828648688e-05,0
2023-01-03,600887,伊利股份,食品饮料,3.1274197334926875e-06,4.07,1.272859831531524e-05,0
2023-01-03,601728,中国电信,通信,6.666666722688928e-06,1.46,9.733333415125834e-06,0
2023-01-03,002532,天山铝业,有色金属,2.5673939095744023e-06,1.79,4.5956350981381804e-06,0
2023-01-03,600941,中国移动,通信,2.3423544489180706e-07,2.28,5.3405681435332e-07,0
2023-01-03,600795,国电电力,公用事业,0.0,5.67,0.0,0
2023-01-03,000703,恒逸石化,石油石化,2.8069148328362157e-06,-1.76,-4.9401701057917395e-06,0
2023-04-03,000651,格力电器,家用电器,1.0591564318618392e-05,7.16,7.58356005213077e-05,1
2023-04-03,600938,中国海油,石油石化,5.933848557080027e-06,5.65,3.3526244347502156e-05,1
2023-04-03,000933,神火股份,有色金属,2.543810260937043e-06,11.25,2.8617865435541733e-05,1
2023-04-03,603156,养元饮品,食品饮料,8.81057413486408e-06,2.91,2.5638770732454472e-05,1
2023-04-03,601225,陕西煤业,煤炭,6.683168316831683e-06,3.73,2.4928217821782176e-05,0
2023-04-03,601088,中国神华,煤炭,9.107206909633356e-06,2.68,2.4407314517817395e-05,0
2023-04-03,000333,美的集团,家用电器,3.051500711323791e-06,6.3,1.9224454481339882e-05,0
2023-04-03,601006,大秦铁路,交通运输,6.648190874082991e-06,2.76,1.8349006812469056e-05,0
2023-04-03,601398,工商银行,银行,6.591014077206579e-06,2.74,1.8059378571546027e-05,0
2023-04-03,601939,建设银行,银行,6.117647324555805e-06,2.71,1.657882424954623e-05,0
2023-04-03,601166,兴业银行,银行,6.127865571628507e-06,2.65,1.6238843764815544e-05,0
2023-04-03,600900,长江电力,公用事业,3.713443385064692e-06,4.28,1.5893537688076885e-05,0
2023-04-03,600036,招商银行,银行,4.428326063099072e-06,3.33,1.474632579011991e-05,0
2023-04-03,600887,伊利股份,食品饮料,3.312114106573609e-06,4.07,1.348030441375459e-05,0
2023-04-03,600377,宁沪高速,交通运输,5.535499626406471e-06,1.94,1.0738869275228553e-05,0
2023-04-03,601857,中国石油,石油石化,4.9799999859761055e-06,2.15,1.0706999969848627e-05,0
2023-04-03,600028,中国石化,石油石化,8.53606620406408e-06,1.23,1.0499361430998819e-05,0
2023-04-03,601728,中国电信,通信,4.44785279297163e-06,0.71,3.157975483009857e-06,0
2023-04-03,002532,天山铝业,有色金属,2.645502926645483e-06,1.09,2.8835981900435767e-06,0
2023-04-03,600941,中国移动,通信,1.8172657172225518e-07,2.16,3.9252939492007123e-07,0
2023-04-03,600795,国电电力,公用事业,0.0,5.67,0.0,0
2023-04-03,000703,恒逸石化,石油石化,2.394639075687624e-06,-1.76,-4.214564773210219e-06,0
2023-07-03,000933,神火股份,有色金属,7.451564900835003e-06,9.18,6.840536578966533e-05,1
2023-07-03,601225,陕西煤业,煤炭,7.273706896551723e-06,6.3,4.5824353448275856e-05,1
2023-07-03,603156,养元饮品,食品饮料,7.148530321388928e-06,6.15,4.396346147654191e-05,1
2023-07-03,601088,中国神华,煤炭,8.151476275323973e-06,4.6,3.749679086649027e-05,1
2023-07-03,000651,格力电器,家用电器,7.923097190759406e-06,4.14,3.280162236974394e-05,0
2023-07-03,600938,中国海油,石油石化,5.621540731234061e-06,5.25,2.9513088838978824e-05,0
2023-07-03,600887,伊利股份,食品饮料,3.570202489880278e-06,6.97,2.4884311354465536e-05,0
2023-07-03,601166,兴业银行,银行,7.5047379245312864e-06,3.31,2.4840682530198557e-05,0
2023-07-03,000333,美的集团,家用电器,4.1445897124932095e-06,5.45,2.258801393308799e-05,0
2023-07-03,600036,招商银行,银行,4.513688222545091e-06,4.03,1.8190163536856715e-05,0
2023-07-03,601006,大秦铁路,交通运输,6.299535250561926e-06,2.81,1.7701694054079012e-05,0
2023-07-03,600377,宁沪高速,交通运输,4.665314434495439e-06,3.77,1.7588235418047806e-05,0
2023-07-03,601939,建设银行,银行,5.741325175878712e-06,3.06,1.756845503818886e-05,0
2023-07-03,601857,中国石油,石油石化,5.403836304036394e-06,3.14,1.6968045994674277e-05,0
2023-07-03,601398,工商银行,银行,6.01024849307827e-06,2.55,1.5326133657349588e-05,0
2023-07-03,600028,中国石化,石油石化,5.460455695839724e-06,2.52,1.3760348353516105e-05,0
2023-07-03,002532,天山铝业,有色金属,3.199433632178355e-06,2.17,6.94277098182703e-06,0
2023-07-03,601728,中国电信,通信,3.4146341211966894e-06,1.83,6.248780441789942e-06,0
2023-07-03,600900,长江电力,公用事业,3.4257522148615934e-06,1.75,5.995066376007788e-06,0
2023-07-03,000703,恒逸石化,石油石化,2.8602504758255115e-06,0.14,4.0043506661557167e-07,0
2023-07-03,600941,中国移动,通信,1.726003491419498e-07,2.2,3.7972076811228956e-07,0
2023-07-03,600795,国电电力,公用事业,0.0,2.11,0.0,0
2023-10-09,601225,陕西煤业,煤炭,1.1620469083155649e-05,4.52,5.252452025586353e-05,1
2023-10-09,000651,格力电器,家用电器,5.447437381449516e-06,8.26,4.4995832770773e-05,1
2023-10-09,000933,神火股份,有色金属,5.757052006105426e-06,6.96,4.0069081962493764e-05,1
2023-10-09,000333,美的集团,家用电器,4.389373384135981e-06,6.82,2.993552647980739e-05,1
2023-10-09,601088,中国神华,煤炭,8.082408933818169e-06,3.68,2.974326487645086e-05,0
2023-10-09,600887,伊利股份,食品饮料,3.914278130184479e-06,5.23,2.0471674620864825e-05,0
2023-10-09,600036,招商银行,银行,5.334561078399859e-06,3.77,2.011129526556747e-05,0
2023-10-09,601006,大秦铁路,交通运输,6.602476174514539e-06,2.95,1.947730471481789e-05,0
2023-10-09,600377,宁沪高速,交通运输,4.397705448958571e-06,3.84,1.688718892400091e-05,0
2023-10-09,601166,兴业银行,银行,7.324286471605535e-06,2.29,1.6772616019976675e-05,0
2023-10-09,601939,建设银行,银行,6.18440252273819e-06,2.67,1.6512354735710967e-05,0
2023-10-09,601857,中国石油,石油石化,5.436156780657662e-06,2.95,1.6036662502940105e-05,0
2023-10-09,601398,工商银行,银行,6.498911372714589e-06,2.34,1.5207452612152137e-05,0
2023-10-09,603156,养元饮品,食品饮料,7.416563579634122e-06,1.59,1.1792336091618256e-05,0
2023-10-09,600795,国电电力,公用事业,2.6954176588688406e-06,4.36,1.1752020992668147e-05,0
2023-10-09,600028,中国石化,石油石化,5.612091118772482e-06,1.87,1.0494610392104543e-05,0
2023-10-09,600900,长江电力,公用事业,3.639885689749615e-06,2.85,1.0373674215786403e-05,0
2023-10-09,601728,中国电信,通信,3.7406143538700414e-06,2.75,1.0286689473142614e-05,0
2023-10-09,002532,天山铝业,有色金属,3.015224467501606e-06,2.24,6.754102807203598e-06,0
2023-10-09,600938,中国海油,石油石化,3.849979925361244e-07,5.01,1.9288399426059834e-06,0
2023-10-09,600941,中国移动,通信,1.792002807747638e-07,3.72,6.666250444821214e-07,0
2023-10-09,000703,恒逸石化,石油石化,0.0,0.17,0.0,0
2024-01-02,601225,陕西煤业,煤炭,1.0210772833723651e-05,5.05,5.1564402810304436e-05,1
2024-01-02,000933,神火股份,有色金属,5.885695528099852e-06,7.9,4.6496994671988834e-05,1
2024-01-02,000651,格力电器,家用电器,6.224670730409877e-06,6.82,4.245225438139536e-05,1
2024-01-02,603156,养元饮品,食品饮料,8.542952113246536e-06,3.63,3.101091617108492e-05,1
2024-01-02,601088,中国神华,煤炭,7.87523157720548e-06,3.85,3.0319641572241096e-05,0
2024-01-02,000333,美的集团,家用电器,4.4848841817176615e-06,6.27,2.8120223819369737e-05,0
2024-01-02,600036,招商银行,银行,6.301667890518785e-06,3.83,2.4135388020686947e-05,0
2024-01-02,600887,伊利股份,食品饮料,3.95910718600581e-06,6.06,2.3992189547195207e-05,0
2024-01-02,601166,兴业银行,银行,8.010783917708854e-06,2.88,2.30710576830015e-05,0
