date,cash,stock_value,total_value,n_stocks,601398|工商银行,601939|建设银行,600036|招商银行,601166|兴业银行,601088|中国神华,601225|陕西煤业,600900|长江电力,600795|国电电力,600028|中国石化,000703|恒逸石化,600938|中国海油,601857|中国石油,000651|格力电器,000333|美的集团,600887|伊利股份,603156|养元饮品,600941|中国移动,601728|中国电信,601006|大秦铁路,600377|宁沪高速,002532|天山铝业,000933|神火股份
2022-06-29,10000000.0,0.0,10000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-30,10000000.0,0.0,10000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,207.15,9939592.0,9939799.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2480660.0,0.0,0.0,2470800.0,0.0,0.0,0.0,0.0,2486432.0,2501700.0
2022-07-04,207.15,9917605.0,9917812.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2494870.0,0.0,0.0,2465232.0,0.0,0.0,0.0,0.0,2495328.0,2462175.0
2022-07-05,207.15,10133929.0,10134136.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2460360.0,0.0,0.0,2420688.0,0.0,0.0,0.0,0.0,2544256.0,2708625.0
2022-07-06,207.15,9809616.0,9809823.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2432955.0,0.0,0.0,2378928.0,0.0,0.0,0.0,0.0,2428608.0,2569125.0
2022-07-07,207.15,9833488.0,9833695.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2439045.0,0.0,0.0,2355264.0,0.0,0.0,0.0,0.0,2437504.0,2601675.0
2022-07-08,207.15,9843692.0,9843899.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2477615.0,0.0,0.0,2346912.0,0.0,0.0,0.0,0.0,2468640.0,2550525.0
2022-07-11,207.15,9855225.0,9855432.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2521260.0,0.0,0.0,2332992.0,0.0,0.0,0.0,0.0,2562048.0,2438925.0
2022-07-12,207.15,10134444.0,10134651.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2590280.0,0.0,0.0,2306544.0,0.0,0.0,0.0,0.0,2624320.0,2613300.0
2022-07-13,207.15,10276233.0,10276440.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2593325.0,0.0,0.0,2303760.0,0.0,0.0,0.0,0.0,2784448.0,2594700.0
2022-07-14,207.15,10073438.0,10073645.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2535470.0,0.0,0.0,2302368.0,0.0,0.0,0.0,0.0,2668800.0,2566800.0
2022-07-15,207.15,9887984.0,9888191.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2498930.0,0.0,0.0,2296800.0,0.0,0.0,0.0,0.0,2548704.0,2543550.0
2022-07-18,207.15,10276843.0,10277050.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2543590.0,0.0,0.0,2309328.0,0.0,0.0,0.0,0.0,2668800.0,2755125.0
2022-07-19,207.15,10285355.0,10285562.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2527350.0,0.0,0.0,2316288.0,0.0,0.0,0.0,0.0,2686592.0,2755125.0
2022-07-20,207.15,10310307.0,10310514.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2529380.0,0.0,0.0,2335776.0,0.0,0.0,0.0,0.0,2610976.0,2834175.0
2022-07-21,207.15,10114249.0,10114456.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2518215.0,0.0,0.0,2299584.0,0.0,0.0,0.0,0.0,2557600.0,2738850.0
2022-07-22,207.15,9980798.0,9981005.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2517200.0,0.0,0.0,2275920.0,0.0,0.0,0.0,0.0,2495328.0,2692350.0
2022-07-25,207.15,9936177.0,9936384.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2538515.0,0.0,0.0,2241120.0,0.0,0.0,0.0,0.0,2464192.0,2692350.0
2022-07-26,207.15,9972883.0,9973090.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2531410.0,0.0,0.0,2250864.0,0.0,0.0,0.0,0.0,2481984.0,2708625.0
2022-07-27,207.15,10000386.0,10000593.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2477615.0,0.0,0.0,2249472.0,0.0,0.0,0.0,0.0,2504224.0,2769075.0
2022-07-28,207.15,10095599.0,10095806.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2470510.0,0.0,0.0,2260608.0,0.0,0.0,0.0,0.0,2544256.0,2820225.0
2022-07-29,207.15,10294903.0,10295110.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2466450.0,0.0,0.0,2238336.0,0.0,0.0,0.0,0.0,2797792.0,2792325.0
2022-08-01,207.15,10638953.0,10639160.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2448180.0,0.0,0.0,2213280.0,0.0,0.0,0.0,0.0,3073568.0,2903925.0
2022-08-02,207.15,10761548.0,10761755.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2362920.0,0.0,0.0,2133936.0,0.0,0.0,0.0,0.0,3353792.0,2910900.0
2022-08-03,207.15,10486695.0,10486902.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2359875.0,0.0,0.0,2114448.0,0.0,0.0,0.0,0.0,3175872.0,2836500.0
2022-08-04,207.15,10521109.0,10521316.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2385250.0,0.0,0.0,2124192.0,0.0,0.0,0.0,0.0,3242592.0,2769075.0
2022-08-05,207.15,10598863.0,10599070.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2427880.0,0.0,0.0,2139504.0,0.0,0.0,0.0,0.0,3215904.0,2815575.0
2022-08-08,207.15,10750727.0,10750934.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2413670.0,0.0,0.0,2146464.0,0.0,0.0,0.0,0.0,3295968.0,2894625.0
2022-08-09,207.15,10896077.0,10896284.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2418745.0,0.0,0.0,2142288.0,0.0,0.0,0.0,0.0,3238144.0,3096900.0
2022-08-10,207.15,10871086.0,10871293.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2403520.0,0.0,0.0,2133936.0,0.0,0.0,0.0,0.0,3269280.0,3064350.0
2022-08-11,207.15,11046936.0,11047143.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2436000.0,0.0,0.0,2168736.0,0.0,0.0,0.0,0.0,3336000.0,3106200.0
2022-08-12,207.15,11170261.0,11170468.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2440060.0,0.0,0.0,2175696.0,0.0,0.0,0.0,0.0,3269280.0,3285225.0
2022-08-15,207.15,11289743.0,11289950.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2440060.0,0.0,0.0,2188224.0,0.0,0.0,0.0,0.0,3371584.0,3289875.0
2022-08-16,207.15,11326088.0,11326295.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2438030.0,0.0,0.0,2196576.0,0.0,0.0,0.0,0.0,3376032.0,3315450.0
2022-08-17,207.15,11281443.0,11281650.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2447165.0,0.0,0.0,2196576.0,0.0,0.0,0.0,0.0,3331552.0,3306150.0
2022-08-18,207.15,11188758.0,11188965.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2404535.0,0.0,0.0,2185440.0,0.0,0.0,0.0,0.0,3318208.0,3280575.0
2022-08-19,207.15,11062502.0,11062709.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2406565.0,0.0,0.0,2167344.0,0.0,0.0,0.0,0.0,3184768.0,3303825.0
2022-08-22,207.15,11300480.0,11300687.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2408595.0,0.0,0.0,2118624.0,0.0,0.0,0.0,0.0,3367136.0,3406125.0
2022-08-23,207.15,11058556.0,11058763.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2388295.0,0.0,0.0,2108880.0,0.0,0.0,0.0,0.0,3322656.0,3238725.0
2022-08-24,207.15,10907604.0,10907811.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2373070.0,0.0,0.0,2082432.0,0.0,0.0,0.0,0.0,3220352.0,3231750.0
