date,DIV_shares,NDX_shares,BOND_shares,GOLD_shares,DIV_value,NDX_value,BOND_value,GOLD_value,cash,total_value
2018-12-19,2497200.0,1090400.0,2377600.0,2388300.0,2497200.0,2497016.0,2497145.728,2497146.7725,141.45,9988649.94744985
2018-12-20,2497200.0,1090400.0,2377600.0,2388300.0,2497200.0,2462123.2,2505776.4159999997,2497958.7945,141.45,9963199.857449848
2018-12-21,2497200.0,1090400.0,2377600.0,2388300.0,2494702.8,2381433.6,2503969.44,2515634.6028,141.45,9895881.88974985
2018-12-24,2497200.0,1090400.0,2377600.0,2388300.0,2494702.8,2330184.8,2499784.864,2522761.29,141.45,9847575.20094985
2018-12-26,2497200.0,1090400.0,2377600.0,2388300.0,2494702.8,2465394.4,2509200.16,2544315.6975000002,141.45,10013754.50444985
2018-12-27,2497200.0,1090400.0,2377600.0,2388300.0,2494702.8,2477388.8,2514121.792,2532319.2666,141.45,10018674.105549848
2018-12-28,2497200.0,1090400.0,2377600.0,2388300.0,2495701.6799999997,2465394.4,2518116.1599999997,2547652.1525999997,141.45,10027005.839549849
2018-12-31,2511800.0,1103000.0,2370800.0,2354500.0,2511297.64,2511531.0,2511506.98,2511507.478,14.44,10045857.54091409
2019-01-02,2511800.0,1103000.0,2370800.0,2354500.0,2511297.64,2519252.0,2518998.708,2521999.13,14.44,10071561.92091409
2019-01-03,2511800.0,1103000.0,2370800.0,2354500.0,2511297.64,2437630.0,2519259.496,2535335.018,14.44,10003536.596914088
2019-01-04,2511800.0,1103000.0,2370800.0,2354500.0,2513307.0799999996,2542415.0,2513451.0360000003,2536936.078,14.44,10106123.63691409
2019-01-07,2511800.0,1103000.0,2370800.0,2354500.0,2513307.0799999996,2564475.0,2510511.244,2525288.3665,14.44,10113596.133414088
2019-01-08,2511800.0,1103000.0,2370800.0,2354500.0,2513307.0799999996,2584329.0,2517884.432,2512663.5375,14.44,10128198.492414089
2019-01-09,2511800.0,1103000.0,2370800.0,2354500.0,2513307.0799999996,2607492.0,2519781.072,2504929.005,14.44,10145523.599914089
2019-01-10,2511800.0,1103000.0,2370800.0,2354500.0,2513307.0799999996,2600874.0,2518666.796,2504573.4755,14.44,10137435.79441409
2019-01-11,2511800.0,1103000.0,2370800.0,2354500.0,2514060.6199999996,2583226.0,2519543.992,2498793.178,14.44,10115638.232914088
2019-01-14,2511800.0,1103000.0,2370800.0,2354500.0,2514060.6199999996,2546827.0,2517078.3600000003,2501371.3555,14.44,10079351.77841409
2019-01-15,2511800.0,1103000.0,2370800.0,2354500.0,2514060.6199999996,2595359.0,2515632.1720000003,2490969.1744999997,14.44,10116035.409414088
2019-01-16,2511800.0,1103000.0,2370800.0,2354500.0,2514060.6199999996,2597565.0,2526134.816,2496660.001,14.44,10134434.879914088
2019-01-17,2511800.0,1103000.0,2370800.0,2354500.0,2514060.6199999996,2616316.0,2526300.772,2497816.0605,14.44,10154507.89541409
2019-01-18,2511800.0,1103000.0,2370800.0,2354500.0,2524610.18,2644994.0,2523598.0599999996,2499327.6495000003,14.44,10192544.332414089
2019-01-21,2511800.0,1103000.0,2370800.0,2354500.0,2526117.2600000002,2648303.0,2520184.108,2489547.0565000004,14.44,10184165.867414089
2019-01-22,2511800.0,1103000.0,2370800.0,2354500.0,2514060.6199999996,2598668.0,2520112.984,2495058.941,14.44,10127914.98791409
2019-01-23,2511800.0,1103000.0,2370800.0,2354500.0,2525112.54,2606389.0,2520207.816,2490879.7035,14.44,10142603.502414089
2019-01-24,2511800.0,1103000.0,2370800.0,2354500.0,2531894.4,2617419.0000000005,2517386.5640000002,2493102.3515,14.44,10159816.75841409
2019-01-25,2511800.0,1103000.0,2370800.0,2354500.0,2545458.12,2656024.0,2516793.864,2490969.1744999997,14.44,10209259.60141409
2019-01-28,2511800.0,1103000.0,2370800.0,2354500.0,2542946.32,2603080.0,2515679.588,2509018.7715000003,14.44,10170739.12241409
2019-01-29,2511800.0,1103000.0,2370800.0,2354500.0,2560026.56,2573299.0,2519994.4439999997,2521999.13,14.44,10175333.576914089
2019-01-30,2511800.0,1103000.0,2370800.0,2354500.0,2550984.08,2641685.0,2520776.808,2529022.6034999997,14.44,10242482.934414089
2019-01-31,2511800.0,1103000.0,2370800.0,2354500.0,2560026.56,2667054.0,2524095.928,2528846.016,14.44,10280036.94691409
2019-02-01,2511800.0,1103000.0,2370800.0,2354500.0,2585646.9200000004,2657127.0,2524095.928,2535158.4305000002,14.44,10302042.72141409
