date,FAPP,DIV_bench,NDX_bench,BOND_bench,GOLD_bench
2018-12-19,9988649.94744985,10000000.0,10000000.0,10000000.0,10000000.0
2018-12-20,9963199.857449848,10000000.0,9860262.008733625,10034562.211981567,10003251.799249217
2018-12-21,9895881.88974985,9990000.0,9537117.903930131,10027326.04638763,10074035.817612318
2018-12-24,9847575.20094985,9990000.0,9331877.729257641,10010568.610275354,10102575.138081918
2018-12-26,10013754.50444985,9990000.0,9873362.445414847,10048272.841527972,10188891.27991775
2018-12-27,10018674.105549848,9990000.0,9921397.379912663,10067981.871500934,10140850.728068288
2018-12-28,10027005.839549849,9994000.0,9873362.445414847,10083977.605971739,10202252.349185854
2018-12-31,10045857.54091409,9998000.0,9943231.441048035,10086357.923601324,10201888.912799178
2019-01-02,10071561.92091409,9998000.0,9973799.126637554,10116445.138439273,10244506.611194797
2019-01-03,10003536.596914088,9998000.0,9650655.02183406,10117492.478196288,10298677.761040578
2019-01-04,10106123.63691409,10006000.0,10065502.183406115,10094165.365426362,10305181.359539011
2019-01-07,10113596.133414088,10006000.0,10152838.4279476,10082358.989983622,10257867.680462904
2019-01-08,10128198.492414089,10006000.0,10231441.048034934,10111970.141295655,10206584.893479664
2019-01-09,10145523.599914089,10006000.0,10323144.104803491,10119587.157710323,10175166.774262967
2019-01-10,10137435.79441409,10006000.0,10296943.231441049,10115112.160566706,10173722.592831695
2019-01-11,10115638.232914088,10008999.999999998,10227074.23580786,10118635.03065849,10150242.68942926
2019-01-14,10079351.77841409,10008999.999999998,10082969.43231441,10108732.90931942,10160715.395834828
2019-01-15,10116035.409414088,10008999.999999998,10275109.170305679,10102924.934303232,10118461.133825885
2019-01-16,10134434.879914088,10008999.999999998,10283842.794759825,10145104.16269947,10141577.600841643
2019-01-17,10154507.89541409,10008999.999999998,10358078.602620086,10145770.651635753,10146273.58152213
2019-01-18,10192544.332414089,10051000.000000002,10471615.720524017,10134916.403244847,10152413.743633889
2019-01-21,10184165.867414089,10057000.0,10484716.157205239,10121205.77369844,10112684.408100808
2019-01-22,10127914.98791409,10008999.999999998,10288209.606986897,10120920.135582892,10135074.00234321
2019-01-23,10142603.502414089,10053000.0,10318777.29257642,10121300.986403625,10118097.697439209
2019-01-24,10159816.75841409,10080000.0,10362445.414847163,10109970.674486803,10127126.222413504
2019-01-25,10209259.60141409,10134000.0,10515283.842794761,10107590.356857216,10118461.133825885
2019-01-28,10170739.12241409,10124000.0,10305676.855895197,10103115.3597136,10191779.642780289
2019-01-29,10175333.576914089,10192000.000000002,10187772.925764194,10120444.072056973,10244506.611194797
2019-01-30,10242482.934414089,10156000.0,10458515.283842795,10123586.091328027,10273036.367548956
2019-01-31,10280036.94691409,10192000.000000002,10558951.965065502,10136915.870053697,10272319.05889104
2019-02-01,10302042.72141409,10294000.0,10519650.655021833,10136915.870053697,10297960.452382661
2019-02-11,10360074.163414089,10380000.0,10637554.585152838,10164337.129146513,10297233.579609308
2019-02-12,10428736.29691409,10428000.0,10842794.759825327,10170621.167688616,10310231.212490736
2019-02-13,10446511.07091409,10539000.0,10829694.323144106,10169383.402521232,10283872.510341201
2019-02-14,10440029.56341409,10518000.0,10855895.19650655,10157957.877899226,10263644.406187981
2019-02-15,10419987.70691409,10338000.0,10886462.882096069,10160909.471759912,10331540.061688546
2019-02-18,10480118.683414089,10544000.0,10890829.694323145,10134821.190539664,10387518.82935227
2019-02-19,10485619.62241409,10535000.000000002,10903930.131004367,10128061.088471645,10412442.914185975
2019-02-20,10501996.99691409,10549000.0,10890829.694323145,10134440.33971893,10471673.481098918
2019-02-21,10444504.76491409,10484000.0,10794759.825327512,10124062.154853944,10413523.659230566
2019-02-22,10464844.611414088,10561000.0,10864628.820960699,10121110.560993258,10348879.802979223
2019-02-25,10564129.96741409,10967000.0,10899563.318777293,10096640.895761129,10326844.08100806
