date,240019.OF,017469.OF,539001.OF,011613.OF,007466.OF,000217.OF
2023/1/5,0.142857,0.095238,0.238095,0.142857,0.214286,0.166667
2023/1/6,0.141909,0.094421,0.243016,0.143178,0.213,0.164476
2023/1/9,0.141998,0.094653,0.242087,0.142678,0.21269,0.165894
2023/1/10,0.140775,0.095671,0.242265,0.143166,0.211675,0.166449
2023/1/11,0.141529,0.09428,0.245791,0.14047,0.211708,0.166223
2023/1/12,0.141557,0.093866,0.24665,0.140502,0.211435,0.165991
2023/1/13,0.142459,0.093395,0.246083,0.140044,0.212557,0.165463
2023/1/17,0.141082,0.097441,0.243457,0.14243,0.210477,0.165114
2023/1/18,0.141251,0.097217,0.242027,0.142934,0.211359,0.165213
2023/1/19,0.140745,0.099343,0.23921,0.144605,0.211166,0.164931
2023/1/20,0.13955,0.09821,0.2432,0.143827,0.210714,0.1645
2023/1/30,0.139216,0.096918,0.247221,0.143422,0.209503,0.163721
2023/1/31,0.138456,0.094812,0.251672,0.141686,0.210639,0.162734
2023/2/1,0.136493,0.095808,0.25384,0.14191,0.209605,0.162344
2023/2/2,0.134359,0.096343,0.258534,0.141086,0.2075,0.162179
2023/2/3,0.134222,0.097302,0.257268,0.142483,0.207605,0.16112
2023/2/6,0.142854,0.095239,0.238103,0.142857,0.214284,0.166664
2023/2/7,0.142527,0.094142,0.242529,0.141524,0.213949,0.165328
2023/2/8,0.143563,0.093963,0.239335,0.141551,0.214625,0.166964
2023/2/9,0.142788,0.097152,0.235832,0.143771,0.214497,0.165959
2023/2/10,0.143177,0.097036,0.235294,0.142729,0.215913,0.165851
2023/2/13,0.1414,0.097125,0.238573,0.141925,0.215515,0.165462
2023/2/14,0.141587,0.096675,0.239499,0.141399,0.216081,0.164758
2023/2/15,0.140253,0.097674,0.241008,0.141429,0.215282,0.164353
2023/2/16,0.141438,0.096151,0.239917,0.140318,0.216389,0.165787
2023/2/17,0.141498,0.094387,0.240844,0.138952,0.217451,0.166868
2023/2/21,0.144219,0.094099,0.233417,0.139352,0.222874,0.166039
2023/2/22,0.143163,0.094507,0.234162,0.138518,0.222845,0.166805
2023/2/23,0.142865,0.093777,0.236767,0.138502,0.222231,0.165858
2023/2/24,0.14256,0.094397,0.233832,0.139035,0.222951,0.167225
2023/2/27,0.141957,0.093134,0.237456,0.138505,0.222048,0.166899
2023/2/28,0.142175,0.093153,0.236566,0.138806,0.222818,0.166481
2023/3/1,0.143296,0.09373,0.233536,0.138959,0.223701,0.166778
2023/3/2,0.14372,0.09303,0.233433,0.138196,0.224997,0.166624
2023/3/3,0.142971,0.094067,0.235944,0.137762,0.224004,0.165252
2023/3/6,0.142856,0.095238,0.238094,0.142855,0.21429,0.166667
2023/3/7,0.144008,0.093694,0.237826,0.141579,0.215151,0.167742
2023/3/8,0.14298,0.094598,0.239904,0.141981,0.214812,0.165726
2023/3/9,0.142603,0.096067,0.237283,0.142745,0.214992,0.16631
2023/3/10,0.141998,0.096682,0.236365,0.143089,0.213254,0.168612
2023/3/13,0.141475,0.096131,0.235736,0.142838,0.214726,0.169094
2023/3/14,0.139251,0.098228,0.237698,0.14342,0.21164,0.169764
2023/3/15,0.139905,0.097815,0.237013,0.142162,0.214189,0.168916
2023/3/16,0.139443,0.09648,0.243658,0.139509,0.211271,0.169638
2023/3/17,0.138108,0.098993,0.240406,0.141376,0.21205,0.169067
2023/3/20,0.136617,0.100612,0.23793,0.141388,0.209637,0.173818
2023/3/21,0.136247,0.10049,0.241302,0.142012,0.208841,0.171109
2023/3/22,0.137729,0.101671,0.238716,0.142781,0.210478,0.168626
2023/3/23,0.136954,0.10367,0.238823,0.144256,0.208141,0.168156
2023/3/24,0.136085,0.102753,0.239327,0.145023,0.207476,0.169336
2023/3/27,0.135691,0.102151,0.24002,0.145475,0.207148,0.169515
2023/3/28,0.137077,0.10004,0.240231,0.143893,0.208903,0.169855
2023/3/29,0.135229,0.102905,0.241975,0.145419,0.205882,0.168591
2023/3/30,0.13538,0.103079,0.243085,0.145058,0.205677,0.167721
2023/3/31,0.133726,0.103671,0.24438,0.145965,0.20454,0.167718
2023/4/3,0.132464,0.107876,0.241581,0.150028,0.204028,0.164023
2023/4/4,0.13258,0.109514,0.23934,0.149698,0.204177,0.164691
2023/4/6,0.14285,0.095248,0.238095,0.142862,0.214278,0.166666
2023/4/10,0.144158,0.094197,0.238832,0.141423,0.215581,0.165808
2023/4/11,0.143902,0.093191,0.237648,0.140653,0.21803,0.166575
2023/4/12,0.14366,0.094261,0.234338,0.140827,0.220022,0.166892
2023/4/13,0.144902,0.09143,0.238548,0.137446,0.220507,0.167167
2023/4/14,0.144129,0.095432,0.235817,0.140449,0.217881,0.166293
2023/4/17,0.14605,0.094781,0.235078,0.140356,0.219591,0.164145
2023/4/18,0.147727,0.09308,0.235889,0.139359,0.220198,0.163746
2023/4/19,0.147264,0.094475,0.235189,0.139648,0.219982,0.163442
2023/4/20,0.145822,0.097643,0.2324,0.142094,0.219746,0.162295
2023/4/21,0.146558,0.093851,0.235715,0.138776,0.220697,0.164403
2023/4/24,0.146305,0.092449,0.23674,0.137236,0.222253,0.165017
2023/4/25,0.149004,0.091285,0.233297,0.135282,0.224347,0.166785
2023/4/26,0.148022,0.088428,0.236721,0.134711,0.224855,0.167262
2023/4/27,0.146771,0.087858,0.241592,0.133619,0.223823,0.166338
2023/4/28,0.146701,0.089555,0.240823,0.134601,0.224873,0.163447
2023/5/4,0.150114,0.086478,0.235234,0.131674,0.2298,0.1667
2023/5/5,0.142862,0.095232,0.238096,0.142849,0.214294,0.166667
2023/5/8,0.146348,0.09444,0.236295,0.142372,0.217377,0.163168
2023/5/9,0.146375,0.092592,0.237496,0.140921,0.217428,0.165189
2023/5/10,0.143235,0.092065,0.24225,0.140931,0.21447,0.167049
