date,strategy_value,principal,benchmark_value
2023/1/5,4196.82,4200,4195.8
2023/1/6,4217.76,4200,4191.43
2023/1/9,4221.85,4200,4189.4
2023/1/10,4214.41,4200,4162.04
2023/1/11,4229.06,4200,4177.18
2023/1/12,4228.63,4200,4171.36
2023/1/13,4243.56,4200,4208.31
2023/1/17,4290.25,4200,4212.97
2023/1/18,4287.39,4200,4227.81
2023/1/19,4304.31,4200,4240.62
2023/1/20,4348.78,4200,4275.25
2023/1/30,4370.64,4200,4272.04
2023/1/31,4354.75,4200,4279.61
2023/2/1,4396.78,4200,4299.69
2023/2/2,4444.09,4200,4302.31
2023/2/3,4409.08,4200,4270.59
2023/2/6,8577.64,8400,8457.66
2023/2/7,8624.49,8400,8490.58
2023/2/8,8547.63,8400,8441.49
2023/2/9,8621.16,8400,8509.06
2023/2/10,8588.47,8400,8532.74
2023/2/13,8632.88,8400,8561.03
2023/2/14,8654.38,8400,8604.93
2023/2/15,8663.18,8400,8581.82
2023/2/16,8578.86,8400,8541.98
2023/2/17,8510.98,8400,8515.99
2023/2/21,8564.06,8400,8782.8
2023/2/22,8566.88,8400,8784.53
2023/2/23,8591.68,8400,8785.69
2023/2/24,8544.78,8400,8766.05
2023/2/27,8542.78,8400,8728.51
2023/2/28,8557.75,8400,8774.14
2023/3/1,8582.89,8400,8834.77
2023/3/2,8581.45,8400,8884.44
2023/3/3,8692.31,8400,8959.52
2023/3/6,12903.81,12600,13142.03
2023/3/7,12809.87,12600,13098.77
2023/3/8,12828.46,12600,13097.07
2023/3/9,12788.66,12600,13067.38
2023/3/10,12681.06,12600,12852.74
2023/3/13,12756.25,12600,13018.17
2023/3/14,12868.92,12600,12944.37
2023/3/15,12923.23,12600,13155.61
2023/3/16,12985.16,12600,13038.53
2023/3/17,13088.99,12600,13191.24
2023/3/20,13201.3,12600,13153.06
2023/3/21,13202.88,12600,13104.71
2023/3/22,13178.26,12600,13182.76
2023/3/23,13335.64,12600,13192.09
2023/3/24,13287.19,12600,13102.16
2023/3/27,13206.52,12600,13002.05
2023/3/28,13128.93,12600,13035.14
2023/3/29,13265.2,12600,12980
2023/3/30,13339.18,12600,13039.38
2023/3/31,13443.03,12600,13068.23
2023/4/3,13588.7,12600,13176.82
2023/4/4,13652.27,12600,13248.08
2023/4/6,17938.67,16800,17341.23
2023/4/10,17853.23,16800,17363.61
2023/4/11,17840.45,16800,17548.27
2023/4/12,17934.87,16800,17802.32
2023/4/13,17923.52,16800,17830.3
2023/4/14,18083.8,16800,17775.46
2023/4/17,18154.23,16800,17984.74
2023/4/18,18127.83,16800,18008.24
2023/4/19,18159.18,16800,18021.67
2023/4/20,18306.23,16800,18148.14
2023/4/21,18010.43,16800,17932.14
2023/4/24,17905.53,16800,17953.4
2023/4/25,17861.14,16800,18077.63
2023/4/26,17833.99,16800,18091.06
2023/4/27,17965,16800,18140.3
2023/4/28,18144.79,16800,18407.78
2023/5/4,18168.11,16800,18835.29
2023/5/5,22446.38,21000,23055.71
2023/5/8,22683.52,21000,23634.43
2023/5/9,22451.09,21000,23397.75
2023/5/10,22272.26,21000,22895.64
2023/5/11,22270.09,21000,22829.97
